file,line_no,trigger_token,benign_reason,line_excerpt
reports/experiments/measurement_A0/S2_HTML_INLINE_PARSER_UNIVERSE_RESIDUAL_RECONCILIATION_A0/CLOSE_NOTE.md,97,strategy-ready,negation/fixed-False context (2-line window),- No parser result described as strategy-ready.
reports/experiments/measurement_A0/S2_HTML_INLINE_PARSER_UNIVERSE_RESIDUAL_RECONCILIATION_A0/CLOSE_NOTE.md,98,authoritative,negation/fixed-False context (2-line window),- No correction row treated as authoritative unless high_validated and validated.
reports/experiments/measurement_A0/S2_HTML_INLINE_PARSER_UNIVERSE_RESIDUAL_RECONCILIATION_A0/CLOSE_NOTE.md,99,authoritative,negation/fixed-False context (2-line window),- No medium / low / no_link correction row treated as authoritative.
reports/experiments/measurement_A0/S2_HTML_INLINE_PARSER_UNIVERSE_RESIDUAL_RECONCILIATION_A0/CLOSE_NOTE.md,103,strategy-ready,negation/fixed-False context (2-line window),- No card may be described as strategy-ready.
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_LINKAGE_FULL_UNIVERSE_VALIDATION_A0/hard_lock_compliance_check.md,15,authoritative,negation/fixed-False context (2-line window),| Correction parser output non-authoritative | PASS |
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_LINKAGE_FULL_UNIVERSE_VALIDATION_A0/hard_lock_compliance_check.md,16,authoritative,negation/fixed-False context (2-line window),| medium / low / no_link / blocked NOT authoritative | PASS |
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_LINKAGE_FULL_UNIVERSE_VALIDATION_A0/hard_lock_compliance_check.md,22,strategy-ready,negation/fixed-False context (2-line window),| No card described as strategy-ready | PASS |
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_LINKAGE_FULL_UNIVERSE_VALIDATION_A0/parser_correction_interaction_full_universe.md,12,authoritative,negation/fixed-False context (2-line window),- Correction-row parser output is **NOT authoritative by default**.
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_LINKAGE_FULL_UNIVERSE_VALIDATION_A0/parser_correction_interaction_full_universe.md,15,strategy-ready,negation/fixed-False context (2-line window),does not promote any correction row to executable / strategy-ready.
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_LINKAGE_FULL_UNIVERSE_VALIDATION_A0/parser_correction_interaction_full_universe.md,28,strategy-ready,negation/fixed-False context (2-line window),- Does NOT mark any correction row authoritative / executable / strategy-ready.
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_LINKAGE_FULL_UNIVERSE_VALIDATION_A0/correction_full_universe_summary.md,73,authoritative,negation/fixed-False context (2-line window),non-authoritative. medium / low / no_link / blocked rows NOT authoritative.
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_LINKAGE_FULL_UNIVERSE_VALIDATION_A0/report.md,106,authoritative,negation/fixed-False context (2-line window),NOT authoritative.
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_LINKAGE_FULL_UNIVERSE_VALIDATION_A0/report.md,107,authoritative,negation/fixed-False context (2-line window),- Correction rows are NOT authoritative unless high_validated AND validated
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_LINKAGE_FULL_UNIVERSE_VALIDATION_A0/CLOSE_NOTE.md,13,authoritative,negation/fixed-False context (2-line window),"the word ""AUTHORITATIVE""); close after wording patch + housekeeping."
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_LINKAGE_FULL_UNIVERSE_VALIDATION_A0/CLOSE_NOTE.md,20,authoritative,REF-CLOSE-002 wording-fix documentation (before/after),"The substance and counts were accepted, but the word ""AUTHORITATIVE"" was judged too"
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_LINKAGE_FULL_UNIVERSE_VALIDATION_A0/CLOSE_NOTE.md,27,authoritative,REF-CLOSE-002 wording-fix documentation (before/after),"| `report.md` heading | ""post-body, AUTHORITATIVE"" | ""post-body, body-gated classifier"" |"
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_LINKAGE_FULL_UNIVERSE_VALIDATION_A0/CLOSE_NOTE.md,28,authoritative,REF-CLOSE-002 wording-fix documentation (before/after),"| `report.md` body | ""yields the authoritative post-body counts above"" | ""yields the accepted body-gated post-body counts above"" |"
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_LINKAGE_FULL_UNIVERSE_VALIDATION_A0/CLOSE_NOTE.md,29,authoritative,"data-provenance 'authoritative source/dataset', not a row-status claim","| `correction_full_universe_summary.md` heading | ""post-body, AUTHORITATIVE — sums to 166"" | ""post-body, body-gated classifier — sums to 166"" |"
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_LINKAGE_FULL_UNIVERSE_VALIDATION_A0/CLOSE_NOTE.md,30,authoritative,"data-provenance 'authoritative source/dataset', not a row-status claim","| generator (`p_correction_linkage_full_universe_validation.py`) | ""post-body, AUTHORITATIVE"" | ""post-body, body-gated classifier"" |"
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_LINKAGE_FULL_UNIVERSE_VALIDATION_A0/CLOSE_NOTE.md,31,authoritative,negation/fixed-False context (2-line window),"| generator | ""authoritative post-body counts"" | ""accepted body-gated post-body counts"" |"
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_LINKAGE_FULL_UNIVERSE_VALIDATION_A0/CLOSE_NOTE.md,32,authoritative,negation/fixed-False context (2-line window),"| generator comments | ""stays authoritative"" / ""authoritative full-universe classification"" | ""remains the reporting classifier"" / ""accepted body-gated full-uni"
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_LINKAGE_FULL_UNIVERSE_VALIDATION_A0/CLOSE_NOTE.md,34,authoritative,negation/fixed-False context (2-line window),"The hard-lock statements that use ""authoritative"" in a NEGATION were **preserved**:"
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_LINKAGE_FULL_UNIVERSE_VALIDATION_A0/CLOSE_NOTE.md,35,authoritative,negation/fixed-False context (2-line window),correction parser output is NOT authoritative; medium / low / no_link / blocked rows
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_LINKAGE_FULL_UNIVERSE_VALIDATION_A0/CLOSE_NOTE.md,36,authoritative,negation/fixed-False context (2-line window),are NOT authoritative; correction rows are NOT authoritative unless high_validated
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_LINKAGE_FULL_UNIVERSE_VALIDATION_A0/CLOSE_NOTE.md,97,strategy-ready,negation/fixed-False context (2-line window),- No correction row is executable or strategy-ready. No correction row is
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_LINKAGE_FULL_UNIVERSE_VALIDATION_A0/CLOSE_NOTE.md,98,authoritative,negation/fixed-False context (2-line window),authoritative unless high_validated AND validated. No downstream supersession
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_LINKAGE_FULL_UNIVERSE_VALIDATION_A0/CLOSE_NOTE.md,125,event log finaliz,negation/fixed-False context (2-line window),- No execution simulation. No C2/C3 integration. No all-event event log finalization.
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_LINKAGE_FULL_UNIVERSE_VALIDATION_A0/CLOSE_NOTE.md,136,strategy-ready,negation/fixed-False context (2-line window),- No parser result described as strategy-ready.
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_LINKAGE_FULL_UNIVERSE_VALIDATION_A0/CLOSE_NOTE.md,137,authoritative,negation/fixed-False context (2-line window),- No correction row treated as authoritative unless high_validated and validated.
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_LINKAGE_FULL_UNIVERSE_VALIDATION_A0/CLOSE_NOTE.md,138,authoritative,negation/fixed-False context (2-line window),- No medium / low / no_link correction row treated as authoritative.
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_LINKAGE_FULL_UNIVERSE_VALIDATION_A0/CLOSE_NOTE.md,142,strategy-ready,negation/fixed-False context (2-line window),- No card may be described as strategy-ready.
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_RESIDUAL_LOCAL_ADJUDICATION_A0/hard_lock_compliance_check.md,15,authoritative,negation/fixed-False context (2-line window),| Correction parser output non-authoritative | PASS |
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_RESIDUAL_LOCAL_ADJUDICATION_A0/hard_lock_compliance_check.md,16,authoritative,negation/fixed-False context (2-line window),| medium / low / no_link / blocked NOT authoritative | PASS |
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_RESIDUAL_LOCAL_ADJUDICATION_A0/hard_lock_compliance_check.md,20,strategy-ready,negation/fixed-False context (2-line window),| No executable / survivorship-safe / strategy-ready claim | PASS |
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_RESIDUAL_LOCAL_ADJUDICATION_A0/report.md,76,recovery_performed,negation/fixed-False context (2-line window),"- The 39 zip_unparseable rows were NOT downloaded or repaired — they receive a recovery-REQUIREMENTS ledger only (`zip_unparseable_recovery_requirements.csv`, r"
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_RESIDUAL_LOCAL_ADJUDICATION_A0/report.md,78,authoritative,negation/fixed-False context (2-line window),- no_link / medium / low rows remain MANUAL-REVIEW-ONLY and NOT authoritative.
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_RESIDUAL_LOCAL_ADJUDICATION_A0/CLOSE_NOTE.md,63,authoritative,negation/fixed-False context (2-line window),- All 166 rows remain `manual_review_required`. `downstream_authoritative = False`
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_RESIDUAL_LOCAL_ADJUDICATION_A0/CLOSE_NOTE.md,67,recovery_performed,negation/fixed-False context (2-line window),(`recovery_performed = False`). The 17 rejected_wrong_candidate rows remain
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_RESIDUAL_LOCAL_ADJUDICATION_A0/CLOSE_NOTE.md,80,strategy-ready,negation/fixed-False context (2-line window),"- No row is executable, safe, strategy-ready, or downstream-authoritative."
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_RESIDUAL_LOCAL_ADJUDICATION_A0/CLOSE_NOTE.md,105,event log finaliz,negation/fixed-False context (2-line window),- No execution simulation. No C2/C3 integration. No all-event event log finalization.
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_RESIDUAL_LOCAL_ADJUDICATION_A0/CLOSE_NOTE.md,116,strategy-ready,negation/fixed-False context (2-line window),- No parser result described as strategy-ready.
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_RESIDUAL_LOCAL_ADJUDICATION_A0/CLOSE_NOTE.md,117,authoritative,negation/fixed-False context (2-line window),- No correction row treated as authoritative unless high_validated and validated.
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_RESIDUAL_LOCAL_ADJUDICATION_A0/CLOSE_NOTE.md,118,authoritative,negation/fixed-False context (2-line window),- No medium / low / no_link correction row treated as authoritative.
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_RESIDUAL_LOCAL_ADJUDICATION_A0/CLOSE_NOTE.md,122,strategy-ready,negation/fixed-False context (2-line window),- No card may be described as strategy-ready.
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_RESIDUAL_LOCAL_ADJUDICATION_A0/residual_local_adjudication_summary.md,52,authoritative,negation/fixed-False context (2-line window),- All 166 remain manual_review_required; none authoritative / executable /
reports/experiments/measurement_A0/KR_STATUS_CORRECTION_RESIDUAL_LOCAL_ADJUDICATION_A0/residual_local_adjudication_summary.md,53,strategy-ready,negation/fixed-False context (2-line window),strategy-ready. rejected quarantined; high_validated design-only.
reports/experiments/measurement_A0/KR_STATUS_RESIDUAL_BLOCKER_REGISTER_A0/blocker_register_schema.md,21,authoritative,negation/fixed-False context (2-line window),"`executable_or_safe=False`, `downstream_authoritative=False`,"
reports/experiments/measurement_A0/KR_STATUS_RESIDUAL_BLOCKER_REGISTER_A0/blocker_register_schema.md,22,strategy_ready,negation/fixed-False context (2-line window),"`parsed_clean_and_usable=False`, `strategy_ready=False`, `production_ready=False`."
reports/experiments/measurement_A0/KR_STATUS_RESIDUAL_BLOCKER_REGISTER_A0/hard_lock_compliance_check.md,18,authoritative,negation/fixed-False context (2-line window),| downstream_authoritative=False on all register rows | PASS |
reports/experiments/measurement_A0/KR_STATUS_RESIDUAL_BLOCKER_REGISTER_A0/hard_lock_compliance_check.md,20,authoritative,negation/fixed-False context (2-line window),| correction rows NOT treated as downstream-authoritative | PASS |
reports/experiments/measurement_A0/KR_STATUS_RESIDUAL_BLOCKER_REGISTER_A0/hard_lock_compliance_check.md,22,strategy-ready,negation/fixed-False context (2-line window),| No row executable / safe / strategy-ready / production-ready | PASS |
reports/experiments/measurement_A0/KR_STATUS_RESIDUAL_BLOCKER_REGISTER_A0/report.md,9,event-log finaliz,negation/fixed-False context (2-line window),Measurement-layer residual BLOCKER REGISTER (local artifact consolidation) only. suspension_related + resumption_related status rows. Existing local artifacts o
reports/experiments/measurement_A0/KR_STATUS_RESIDUAL_BLOCKER_REGISTER_A0/report.md,85,executable-status table,negation/fixed-False context (2-line window),- NOT an executable-status table.
reports/experiments/measurement_A0/KR_STATUS_RESIDUAL_BLOCKER_REGISTER_A0/report.md,91,strategy_ready,negation/fixed-False context (2-line window),"- All blockers are FAIL-CLOSED: every register row has manual_review_required=True, executable_or_safe=False, downstream_authoritative=False, parsed_clean_and_u"
reports/experiments/measurement_A0/KR_STATUS_RESIDUAL_BLOCKER_REGISTER_A0/report.md,100,authoritative,negation/fixed-False context (2-line window),- 166 correction rows (all manual_review_required; non-authoritative).
reports/experiments/measurement_A0/KR_STATUS_RESIDUAL_BLOCKER_REGISTER_A0/CLOSE_NOTE.md,16,event-log finaliz,negation/fixed-False context (2-line window),all-event event-log finalization / executable-status final table / production /
reports/experiments/measurement_A0/KR_STATUS_RESIDUAL_BLOCKER_REGISTER_A0/CLOSE_NOTE.md,74,authoritative,negation/fixed-False context (2-line window),"executable_or_safe=False, downstream_authoritative=False,"
reports/experiments/measurement_A0/KR_STATUS_RESIDUAL_BLOCKER_REGISTER_A0/CLOSE_NOTE.md,75,strategy_ready,negation/fixed-False context (2-line window),"parsed_clean_and_usable=False, strategy_ready=False, production_ready=False."
reports/experiments/measurement_A0/KR_STATUS_RESIDUAL_BLOCKER_REGISTER_A0/CLOSE_NOTE.md,83,authoritative,negation/fixed-False context (2-line window),- 166 correction rows remain manual_review_required and non-authoritative.
reports/experiments/measurement_A0/KR_STATUS_RESIDUAL_BLOCKER_REGISTER_A0/CLOSE_NOTE.md,85,executable-status table,negation/fixed-False context (2-line window),"- This register is NOT an event log, NOT an executable-status table, NOT downstream"
reports/experiments/measurement_A0/KR_STATUS_RESIDUAL_BLOCKER_REGISTER_A0/CLOSE_NOTE.md,86,strategy-ready,negation/fixed-False context (2-line window),"wiring. No row is executable, safe, strategy-ready, production-ready,"
reports/experiments/measurement_A0/KR_STATUS_RESIDUAL_BLOCKER_REGISTER_A0/CLOSE_NOTE.md,87,authoritative,negation/fixed-False context (2-line window),"parsed-clean-and-usable, or downstream-authoritative."
reports/experiments/measurement_A0/KR_STATUS_RESIDUAL_BLOCKER_REGISTER_A0/CLOSE_NOTE.md,111,event log finaliz,negation/fixed-False context (2-line window),- No execution simulation. No C2/C3 integration. No all-event event log finalization.
reports/experiments/measurement_A0/KR_STATUS_RESIDUAL_BLOCKER_REGISTER_A0/CLOSE_NOTE.md,123,strategy-ready,negation/fixed-False context (2-line window),- No parser result described as strategy-ready.
reports/experiments/measurement_A0/KR_STATUS_RESIDUAL_BLOCKER_REGISTER_A0/CLOSE_NOTE.md,124,authoritative,negation/fixed-False context (2-line window),- No correction row treated as authoritative unless high_validated and validated.
reports/experiments/measurement_A0/KR_STATUS_RESIDUAL_BLOCKER_REGISTER_A0/CLOSE_NOTE.md,125,authoritative,negation/fixed-False context (2-line window),- No medium / low / no_link correction row treated as authoritative.
reports/experiments/measurement_A0/KR_STATUS_RESIDUAL_BLOCKER_REGISTER_A0/CLOSE_NOTE.md,129,strategy-ready,negation/fixed-False context (2-line window),- No card may be described as strategy-ready.
reports/experiments/measurement_A0/KR_STATUS_RESIDUAL_BLOCKER_REGISTER_A0/fail_closed_policy_table.md,15,authoritative,negation/fixed-False context (2-line window),| `correction_manual_review_required` | Correction disclosure. Parser output NON-authoritative. MUST NOT treat as authoritative by default. |
reports/experiments/measurement_A0/KR_STATUS_RESIDUAL_BLOCKER_REGISTER_A0/fail_closed_policy_table.md,22,strategy-ready,negation/fixed-False context (2-line window),| `manual_review_required` | Universal. MUST NOT treat ANY register row as executable / safe / strategy-ready / production-ready / downstream-authoritative. |
reports/experiments/measurement_A0/KR_STATUS_RESIDUAL_BLOCKER_REGISTER_A0/fail_closed_policy_table.md,26,strategy-ready,negation/fixed-False context (2-line window),"- No register row is parsed-clean-and-usable, executable, safe, strategy-ready,"
reports/experiments/measurement_A0/KR_STATUS_RESIDUAL_BLOCKER_REGISTER_A0/fail_closed_policy_table.md,27,production-ready,negation/fixed-False context (2-line window),"production-ready, or downstream-authoritative — regardless of tag combination."
reports/experiments/measurement_A0/KR_STATUS_RESIDUAL_BLOCKER_REGISTER_A0/fail_closed_policy_table.md,29,authoritative,negation/fixed-False context (2-line window),`correction_manual_review_required` (correction parser output non-authoritative).
reports/experiments/measurement_A0/KR_STATUS_RESIDUAL_BLOCKER_REGISTER_A0/fail_closed_policy_table.md,30,executable-status table,negation/fixed-False context (2-line window),"- This register is NOT an event log, NOT an executable-status table, NOT downstream"
reports/experiments/measurement_A0/KR_STATUS_RESIDUAL_BLOCKER_REGISTER_A0/residual_blocker_register_summary.md,56,authoritative,negation/fixed-False context (2-line window),"downstream_authoritative=False, parsed_clean_and_usable=False."
reports/experiments/measurement_A0/KR_STATUS_RESIDUAL_BLOCKER_REGISTER_A0/residual_blocker_register_summary.md,57,executable-status table,negation/fixed-False context (2-line window),- NOT an event log. NOT an executable-status table. NOT downstream wiring.
reports/experiments/measurement_A0/KR_STATUS_PARSER_NONEXTRACTED_LOCAL_TAXONOMY_A0/fail_closed_policy_check.md,15,authoritative,negation/fixed-False context (2-line window),| downstream_authoritative=False on all 711 | PASS |
reports/experiments/measurement_A0/KR_STATUS_PARSER_NONEXTRACTED_LOCAL_TAXONOMY_A0/fail_closed_policy_check.md,17,strategy_ready,negation/fixed-False context (2-line window),| strategy_ready=False on all 711 | PASS |
reports/experiments/measurement_A0/KR_STATUS_PARSER_NONEXTRACTED_LOCAL_TAXONOMY_A0/fail_closed_policy_check.md,18,production_ready,negation/fixed-False context (2-line window),| production_ready=False on all 711 | PASS |
reports/experiments/measurement_A0/KR_STATUS_PARSER_NONEXTRACTED_LOCAL_TAXONOMY_A0/hard_lock_compliance_check.md,15,strategy-ready,negation/fixed-False context (2-line window),| no row promoted to parsed/extracted/executable/safe/strategy-ready | PASS |
reports/experiments/measurement_A0/KR_STATUS_PARSER_NONEXTRACTED_LOCAL_TAXONOMY_A0/hard_lock_compliance_check.md,16,executable-status table,negation/fixed-False context (2-line window),| NOT an event log / executable-status table / downstream wiring | PASS |
reports/experiments/measurement_A0/KR_STATUS_PARSER_NONEXTRACTED_LOCAL_TAXONOMY_A0/report.md,9,event-log finaliz,negation/fixed-False context (2-line window),Measurement-layer parser non-extracted LOCAL ROOT-CAUSE TAXONOMY only. suspension_related + resumption_related status rows. Existing local artifacts + cached bo
reports/experiments/measurement_A0/KR_STATUS_PARSER_NONEXTRACTED_LOCAL_TAXONOMY_A0/report.md,50,strategy-ready,negation/fixed-False context (2-line window),"- NO row became parsed, executable, safe, strategy-ready, production-ready, or downstream-authoritative. parse_status + 511/200 split preserved."
reports/experiments/measurement_A0/KR_STATUS_PARSER_NONEXTRACTED_LOCAL_TAXONOMY_A0/report.md,52,event-log finaliz,negation/fixed-False context (2-line window),"- NO strategy, backtest, execution simulation, C2/C3, event-log finalization, executable-status table, or production/paper/live/P08/shadow work occurred."
reports/experiments/measurement_A0/KR_STATUS_PARSER_NONEXTRACTED_LOCAL_TAXONOMY_A0/parser_nonextracted_taxonomy_summary.md,26,strategy-ready,negation/fixed-False context (2-line window),- All 711 fail-closed; no row parsed/executable/safe/strategy-ready.
reports/experiments/measurement_A0/KR_STATUS_PARSER_NONEXTRACTED_LOCAL_TAXONOMY_A0/CLOSE_NOTE.md,17,event-log finaliz,negation/fixed-False context (2-line window),all-event event-log finalization / executable-status final table / production /
reports/experiments/measurement_A0/KR_STATUS_PARSER_NONEXTRACTED_LOCAL_TAXONOMY_A0/CLOSE_NOTE.md,28,event-log finaliz,negation/fixed-False context (2-line window),"all-event event-log finalization, no executable-status final table, no strategy /"
reports/experiments/measurement_A0/KR_STATUS_PARSER_NONEXTRACTED_LOCAL_TAXONOMY_A0/CLOSE_NOTE.md,63,strategy_ready,negation/fixed-False context (2-line window),"downstream_authoritative=False, parsed_clean_and_usable=False, strategy_ready=False,"
reports/experiments/measurement_A0/KR_STATUS_PARSER_NONEXTRACTED_LOCAL_TAXONOMY_A0/CLOSE_NOTE.md,64,production_ready,negation/fixed-False context (2-line window),"production_ready=False, effective_date_extracted=False."
reports/experiments/measurement_A0/KR_STATUS_PARSER_NONEXTRACTED_LOCAL_TAXONOMY_A0/CLOSE_NOTE.md,74,authoritative,negation/fixed-False context (2-line window),non-authoritative.
reports/experiments/measurement_A0/KR_STATUS_PARSER_NONEXTRACTED_LOCAL_TAXONOMY_A0/CLOSE_NOTE.md,101,event log finaliz,negation/fixed-False context (2-line window),- No execution simulation. No C2/C3 integration. No all-event event log finalization.
reports/experiments/measurement_A0/KR_STATUS_PARSER_NONEXTRACTED_LOCAL_TAXONOMY_A0/CLOSE_NOTE.md,113,strategy-ready,negation/fixed-False context (2-line window),- No parser result described as strategy-ready.
reports/experiments/measurement_A0/KR_STATUS_PARSER_NONEXTRACTED_LOCAL_TAXONOMY_A0/CLOSE_NOTE.md,114,authoritative,negation/fixed-False context (2-line window),- No correction row treated as authoritative unless high_validated and validated.
reports/experiments/measurement_A0/KR_STATUS_PARSER_NONEXTRACTED_LOCAL_TAXONOMY_A0/CLOSE_NOTE.md,115,authoritative,negation/fixed-False context (2-line window),- No medium / low / no_link correction row treated as authoritative.
reports/experiments/measurement_A0/KR_STATUS_PARSER_NONEXTRACTED_LOCAL_TAXONOMY_A0/CLOSE_NOTE.md,121,strategy-ready,negation/fixed-False context (2-line window),- No card may be described as strategy-ready.
reports/experiments/measurement_A0/KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest_summary.md,27,recovery_performed,negation/fixed-False context (2-line window),- recovery_performed=False; requires_separate_verdict=True;
reports/experiments/measurement_A0/KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest_summary.md,29,strategy_ready,negation/fixed-False context (2-line window),- All fail-closed (manual_review_required=True; executable_or_safe / downstream_authoritative / parsed_clean_and_usable / strategy_ready / production_ready = Fa
reports/experiments/measurement_A0/KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/fail_closed_policy_check.md,8,recovery_performed,negation/fixed-False context (2-line window),| all 42 rows recovery_performed=False | PASS |
reports/experiments/measurement_A0/KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/fail_closed_policy_check.md,14,authoritative,negation/fixed-False context (2-line window),| all 42 downstream_authoritative=False | PASS |
reports/experiments/measurement_A0/KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/fail_closed_policy_check.md,16,strategy_ready,negation/fixed-False context (2-line window),| all 42 strategy_ready=False | PASS |
reports/experiments/measurement_A0/KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/fail_closed_policy_check.md,17,production_ready,negation/fixed-False context (2-line window),| all 42 production_ready=False | PASS |
reports/experiments/measurement_A0/KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/hard_lock_compliance_check.md,13,executable-status table,negation/fixed-False context (2-line window),| NOT an event log / NOT executable-status table / NOT recovery run | PASS |
reports/experiments/measurement_A0/KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/hard_lock_compliance_check.md,16,recovery_performed,negation/fixed-False context (2-line window),| recovery_performed=False on all 42 | PASS |
reports/experiments/measurement_A0/KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/hard_lock_compliance_check.md,21,strategy-ready,negation/fixed-False context (2-line window),| no rcept_dt as effective_date; no card strategy-ready | PASS |
reports/experiments/measurement_A0/KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/approval_boundary_memo.md,11,authoritative,negation/fixed-False context (2-line window),"- ❌ marking any row parsed / extracted / safe / executable / downstream-authoritative,"
reports/experiments/measurement_A0/KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/approval_boundary_memo.md,13,event-log finaliz,negation/fixed-False context (2-line window),- ❌ event-log finalization / executable-status table / C2-C3 / strategy / execution /
reports/experiments/measurement_A0/KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/report.md,9,event-log finaliz,negation/fixed-False context (2-line window),Measurement-layer source-recovery candidate MANIFEST (local artifact consolidation) only. The 42 source_zip_unparseable rows (39 correction + 3 non-correction).
