signal_date,execution_date,end_signal_date,end_exclusive,start_observation_date,end_observation_date,start_usdkrw,end_usdkrw,quarter_fx_return,daily_fx_return,trading_days,cumulative_off_fx
2018-12-28,2019-01-02,2019-03-29,2019-04-01,2018-12-28,2019-03-29,1114.9,1136.3,0.019194546596107198,0.0003223003199712693,59,0.05799125681142758
2019-03-29,2019-04-01,2019-06-28,2019-07-01,2019-03-29,2019-06-28,1136.3,1154.58,0.016087300888849798,0.00025744073760880504,62,0.07501148049752548
2022-03-31,2022-04-01,2022-06-30,2022-07-01,2022-03-31,2022-06-30,1211.55,1298.95,0.07213899550163028,0.0011241106009509672,62,0.1525617288533374
2022-06-30,2022-07-01,2022-09-30,2022-10-04,2022-06-30,2022-09-30,1298.95,1431.67,0.10217483351938106,0.0015454048020533406,63,0.27032453161973713
2022-09-30,2022-10-04,2022-12-29,2023-01-02,2022-09-30,2022-12-29,1431.67,1265.58,-0.11601137133557327,-0.0019869118580274625,62,0.12295244066531152
2022-12-29,2023-01-02,2023-03-31,2023-04-03,2022-12-29,2023-03-31,1265.58,1303.8,0.030199592281799692,0.0004799951992848772,62,0.15686514652525574
2023-03-31,2023-04-03,2023-06-30,2023-07-03,2023-03-31,2023-06-30,1303.8,1317.8,0.010737843227488941,0.00017510716535995563,61,0.16928738310399005
2023-06-30,2023-07-03,2023-09-27,2023-10-04,2023-06-30,2023-09-27,1317.8,1349.05,0.023713765366520034,0.00037808696546903775,62,0.1970155897529502
2024-06-28,2024-07-01,2024-09-30,2024-10-02,2024-06-28,2024-09-30,1376.55,1314.94,-0.04475681958519484,-0.0007382649569135369,62,0.1434409789617117
2024-12-30,2025-01-02,2025-03-31,2025-04-01,2024-12-30,2025-03-31,1472.32,1474.44,0.0014399043686155188,2.480838876395275e-05,58,0.14508742462257262
2025-03-31,2025-04-01,2025-06-30,2025-07-01,2025-03-31,2025-06-30,1474.44,1353.5,-0.08202436179159545,-0.0014253902751277803,60,0.0511623594223245
