rcept_no,bucket,prior_source_artifact,prior_source_artifact_exists,prior_source_artifact_sha256,prior_status,manifest_provenance,event_category,source_period
20151231900042,correction,data/acquired/round5_manual_audit_samples/20151231900042.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,resumption_related,pre_2018
20160224900085,correction,data/acquired/round5_manual_audit_samples/20160224900085.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,resumption_related,pre_2018
20160429600510,correction,data/acquired/round5_manual_audit_samples/20160429600510.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,suspension_related,pre_2018
20160429900298,correction,data/acquired/round5_manual_audit_samples/20160429900298.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,resumption_related,pre_2018
20160429900427,correction,data/acquired/round5_manual_audit_samples/20160429900427.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,resumption_related,pre_2018
20161017900147,correction,data/acquired/round5_manual_audit_samples/20161017900147.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,resumption_related,pre_2018
20161115900075,correction,data/acquired/round5_manual_audit_samples/20161115900075.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,suspension_related,pre_2018
20161125900030,correction,data/acquired/round5_manual_audit_samples/20161125900030.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,suspension_related,pre_2018
20170124900643,correction,data/acquired/round5_manual_audit_samples/20170124900643.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,suspension_related,pre_2018
20170124900649,correction,data/acquired/round5_manual_audit_samples/20170124900649.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,suspension_related,pre_2018
20170223600535,correction,data/acquired/round5_manual_audit_samples/20170223600535.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,suspension_related,pre_2018
20170327900337,correction,data/acquired/round5_manual_audit_samples/20170327900337.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,resumption_related,pre_2018
20170330902219,correction,data/acquired/round5_manual_audit_samples/20170330902219.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,suspension_related,pre_2018
20170421900722,correction,data/acquired/round5_manual_audit_samples/20170421900722.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,suspension_related,pre_2018
20171110900736,correction,data/acquired/round5_manual_audit_samples/20171110900736.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,resumption_related,pre_2018
20180321900419,correction,data/acquired/round5_manual_audit_samples/20180321900419.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,suspension_related,post_2018
20180402900901,correction,data/acquired/round5_manual_audit_samples/20180402900901.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,suspension_related,post_2018
20180724800459,correction,data/acquired/round5_manual_audit_samples/20180724800459.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,resumption_related,post_2018
20181008900701,correction,data/acquired/round5_manual_audit_samples/20181008900701.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,resumption_related,post_2018
20181008900702,correction,data/acquired/round5_manual_audit_samples/20181008900702.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,resumption_related,post_2018
20190117900312,correction,data/acquired/round5_manual_audit_samples/20190117900312.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,suspension_related,post_2018
20190304900009,correction,data/acquired/round5_manual_audit_samples/20190304900009.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,suspension_related,post_2018
20190322600250,correction,data/acquired/round5_manual_audit_samples/20190322600250.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,suspension_related,post_2018
20190411900687,correction,data/acquired/round5_manual_audit_samples/20190411900687.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,suspension_related,post_2018
20190415900808,correction,data/acquired/round5_manual_audit_samples/20190415900808.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,suspension_related,post_2018
20190424600679,correction,data/acquired/round5_manual_audit_samples/20190424600679.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,suspension_related,post_2018
20190828900580,correction,data/acquired/round5_manual_audit_samples/20190828900580.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,resumption_related,post_2018
20191004900529,correction,data/acquired/round5_manual_audit_samples/20191004900529.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,resumption_related,post_2018
20191230800862,correction,data/acquired/round5_manual_audit_samples/20191230800862.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,resumption_related,post_2018
20200320902492,non_correction,data/acquired/round5_manual_audit_samples/20200320902492.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,suspension_related,post_2018
20200429901359,non_correction,data/acquired/round5_manual_audit_samples/20200429901359.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,suspension_related,post_2018
20241129900819,non_correction,data/acquired/round5_manual_audit_samples/20241129900819.zip,True,03f4385d883fd756de28e791dde6f153baad5771898af36fcd2f07b479a84a8f,zip_unparseable,KR_STATUS_SOURCE_RECOVERY_CANDIDATE_MANIFEST_A0/source_recovery_candidate_manifest.csv,suspension_related,post_2018
