correction_rcept_no,corp_name,event_category,confidence_5tier,body_format_cache,root_cause,residual_action_class,next_action,authoritative,manual_review_required
20190424600679,로지스몬,suspension_related,low_needs_manual,zip_unparseable,body_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20190415900808,모다,suspension_related,medium_needs_manual,zip_unparseable,body_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20190411900687,에스마크,suspension_related,medium_needs_manual,zip_unparseable,body_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20221027800436,포스코스틸리온,resumption_related,no_link,html_inline,insufficient_evidence,no_link_insufficient_evidence,manual search for a stronger original,False,True
20230518900519,오스템임플란트,suspension_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20230407901054,노블엠앤비,suspension_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20251219900832,파두,suspension_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20251029900260,디앤디파마텍,suspension_related,no_link,html_inline,original_not_in_raw_pool,no_link_original_not_found,candidate source expansion (separate verdict) OR accept as no local original,False,True
20180724800459,금호타이어,resumption_related,no_link,zip_unparseable,insufficient_evidence,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20260323801944,핸즈코퍼레이션,resumption_related,no_link,html_inline,original_not_in_raw_pool,no_link_original_not_found,candidate source expansion (separate verdict) OR accept as no local original,False,True
20260323801642,핸즈코퍼레이션,resumption_related,no_link,html_inline,original_not_in_raw_pool,no_link_original_not_found,candidate source expansion (separate verdict) OR accept as no local original,False,True
20260323901219,롤링스톤,suspension_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20260223900512,에어레인,suspension_related,no_link,html_inline,original_not_in_raw_pool,no_link_original_not_found,candidate source expansion (separate verdict) OR accept as no local original,False,True
20260123900670,케이에이치미래물산,resumption_related,no_link,html_inline,insufficient_evidence,no_link_insufficient_evidence,manual search for a stronger original,False,True
20260123900664,케이에이치건설,resumption_related,no_link,html_inline,insufficient_evidence,no_link_insufficient_evidence,manual search for a stronger original,False,True
20260506900571,딥커머스,suspension_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20260401901549,이화공영,suspension_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20210217900273,엔텔스,suspension_related,no_link,html_inline,original_not_in_raw_pool,no_link_original_not_found,candidate source expansion (separate verdict) OR accept as no local original,False,True
20210217900264,엔텔스,suspension_related,no_link,html_inline,original_not_in_raw_pool,no_link_original_not_found,candidate source expansion (separate verdict) OR accept as no local original,False,True
20210104900051,디모아,suspension_related,no_link,html_inline,original_not_in_raw_pool,no_link_original_not_found,candidate source expansion (separate verdict) OR accept as no local original,False,True
20231207900088,한화플러스제2호기업인수목적,suspension_related,no_link,html_inline,original_not_in_raw_pool,no_link_original_not_found,candidate source expansion (separate verdict) OR accept as no local original,False,True
20231205900605,리메드,suspension_related,no_link,html_inline,original_not_in_raw_pool,no_link_original_not_found,candidate source expansion (separate verdict) OR accept as no local original,False,True
20191230800862,씨아이테크,resumption_related,no_link,zip_unparseable,original_not_in_raw_pool,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20191004900529,글로앤웰,resumption_related,medium_needs_manual,zip_unparseable,body_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20240328800097,한창,resumption_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20240214901016,NPX,suspension_related,no_link,html_inline,original_not_in_raw_pool,no_link_original_not_found,candidate source expansion (separate verdict) OR accept as no local original,False,True
20200907900245,푸른소나무,suspension_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20200904900564,인콘,suspension_related,no_link,html_inline,insufficient_evidence,no_link_insufficient_evidence,manual search for a stronger original,False,True
20200814902049,세중,suspension_related,no_link,html_inline,original_not_in_raw_pool,no_link_original_not_found,candidate source expansion (separate verdict) OR accept as no local original,False,True
20200728800110,다이나믹디자인,resumption_related,no_link,html_inline,insufficient_evidence,no_link_insufficient_evidence,manual search for a stronger original,False,True
20200713900454,베노티앤알,suspension_related,no_link,html_inline,insufficient_evidence,no_link_insufficient_evidence,manual search for a stronger original,False,True
20210825800494,에이치디현대인프라코어,resumption_related,no_link,html_inline,original_not_in_raw_pool,no_link_original_not_found,candidate source expansion (separate verdict) OR accept as no local original,False,True
20220906900547,일월지엠엘,suspension_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20220905900418,피에스케이,suspension_related,no_link,html_inline,original_not_in_raw_pool,no_link_original_not_found,candidate source expansion (separate verdict) OR accept as no local original,False,True
20220816903047,비보존 제약,resumption_related,no_link,html_inline,original_not_in_raw_pool,no_link_original_not_found,candidate source expansion (separate verdict) OR accept as no local original,False,True
20220816902970,오성첨단소재,suspension_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20190828900580,모다,resumption_related,no_link,zip_unparseable,insufficient_evidence,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20241029900334,주성엔지니어링,suspension_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20201223900861,제이시스메디칼,resumption_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
