rcept_no,value_pattern_class,design_proof_bucket,false_positive_risk,required_future_approval,required_guardrail,hypothetical_candidate_value_text,hypothetical_candidate_value_iso_PROOF_ONLY,is_proof_only_not_parser_output,fail_closed,manual_review_required,executable_or_safe,downstream_authoritative,parsed,recovered,validated,approved,effective_date_accepted,strategy_ready
20130520800426,relative_or_tbd_marker,relative_tbd_keep_fail_closed,blocked_not_evaluable,none_keep_fail_closed,value is a relative/TBD expression (e.g. '…제출일 익일' = day after a future document submission); no absolute date exists to extract; a parser change cannot recover a date that is not present; keep fail-closed,,,True,True,True,False,False,False,False,False,False,False,False
20130617800407,relative_or_tbd_marker,relative_tbd_keep_fail_closed,blocked_not_evaluable,none_keep_fail_closed,value is a relative/TBD expression (e.g. '…제출일 익일' = day after a future document submission); no absolute date exists to extract; a parser change cannot recover a date that is not present; keep fail-closed,,,True,True,True,False,False,False,False,False,False,False,False
20130702800345,relative_or_tbd_marker,relative_tbd_keep_fail_closed,blocked_not_evaluable,none_keep_fail_closed,value is a relative/TBD expression (e.g. '…제출일 익일' = day after a future document submission); no absolute date exists to extract; a parser change cannot recover a date that is not present; keep fail-closed,,,True,True,True,False,False,False,False,False,False,False,False
20131015800221,relative_or_tbd_marker,relative_tbd_keep_fail_closed,blocked_not_evaluable,none_keep_fail_closed,value is a relative/TBD expression (e.g. '…제출일 익일' = day after a future document submission); no absolute date exists to extract; a parser change cannot recover a date that is not present; keep fail-closed,,,True,True,True,False,False,False,False,False,False,False,False
20140214800645,relative_or_tbd_marker,relative_tbd_keep_fail_closed,blocked_not_evaluable,none_keep_fail_closed,value is a relative/TBD expression (e.g. '…제출일 익일' = day after a future document submission); no absolute date exists to extract; a parser change cannot recover a date that is not present; keep fail-closed,,,True,True,True,False,False,False,False,False,False,False,False
20141016800022,relative_or_tbd_marker,relative_tbd_keep_fail_closed,blocked_not_evaluable,none_keep_fail_closed,value is a relative/TBD expression (e.g. '…제출일 익일' = day after a future document submission); no absolute date exists to extract; a parser change cannot recover a date that is not present; keep fail-closed,,,True,True,True,False,False,False,False,False,False,False,False
20141016800381,relative_or_tbd_marker,relative_tbd_keep_fail_closed,blocked_not_evaluable,none_keep_fail_closed,value is a relative/TBD expression (e.g. '…제출일 익일' = day after a future document submission); no absolute date exists to extract; a parser change cannot recover a date that is not present; keep fail-closed,,,True,True,True,False,False,False,False,False,False,False,False
20141028800440,relative_or_tbd_marker,relative_tbd_keep_fail_closed,blocked_not_evaluable,none_keep_fail_closed,value is a relative/TBD expression (e.g. '…제출일 익일' = day after a future document submission); no absolute date exists to extract; a parser change cannot recover a date that is not present; keep fail-closed,,,True,True,True,False,False,False,False,False,False,False,False
20141208800471,relative_or_tbd_marker,relative_tbd_keep_fail_closed,blocked_not_evaluable,none_keep_fail_closed,value is a relative/TBD expression (e.g. '…제출일 익일' = day after a future document submission); no absolute date exists to extract; a parser change cannot recover a date that is not present; keep fail-closed,,,True,True,True,False,False,False,False,False,False,False,False
20141215800931,relative_or_tbd_marker,relative_tbd_keep_fail_closed,blocked_not_evaluable,none_keep_fail_closed,value is a relative/TBD expression (e.g. '…제출일 익일' = day after a future document submission); no absolute date exists to extract; a parser change cannot recover a date that is not present; keep fail-closed,,,True,True,True,False,False,False,False,False,False,False,False
20150213801013,relative_or_tbd_marker,relative_tbd_keep_fail_closed,blocked_not_evaluable,none_keep_fail_closed,value is a relative/TBD expression (e.g. '…제출일 익일' = day after a future document submission); no absolute date exists to extract; a parser change cannot recover a date that is not present; keep fail-closed,,,True,True,True,False,False,False,False,False,False,False,False
20210430900254,absolute_date_unhandled_format,future_parser_change_candidate_guarded,medium_requires_additional_guard,parser_change_verdict_after_design_proof_review,"2-digit-year date format ('YY.M.D) the parser's 4-digit patterns miss; a future parser MIGHT add a strict 'YY.M.D rule, but ONLY with century disambiguation (20YY vs 19YY) and confirmation that the matched label-kind is the effective date for this event; reject if >1 distinct date or relative context",'21.5.3,2021-05-03,True,True,True,False,False,False,False,False,False,False,False
20231017900001,relative_or_tbd_marker,relative_tbd_keep_fail_closed,blocked_not_evaluable,none_keep_fail_closed,"2-digit-year date present but inside a relative/deadline expression (이내/限) — it is a deadline, not the event date; the event date is undetermined; keep fail-closed",,,True,True,True,False,False,False,False,False,False,False,False
