rcept_no,prior_parse_status,prior_taxonomy_class,feasibility_bucket,design_theme,design_feasibility,blocker_reason,required_future_approval,fail_closed,manual_review_required,executable_or_safe,downstream_authoritative,parsed_clean_and_usable,validated,approved,strategy_ready,is_planning_evidence_only
20100322800327,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
20100319802052,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
20100312901132,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20100311901592,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20100310800118,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
20100308800776,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
20100305800323,label_no_value,label_present_but_value_in_unhandled_format,parser_design_candidate,date_format_or_relative_date_handling,medium,label present but value in relative/non-ISO/unhandled format; needs date-format handling expansion,parser_change_verdict,True,True,False,False,False,False,False,False,True
20100219900736,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20100208800004,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
20100204900181,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20100121800416,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
20100121900059,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20100107900091,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20100104800008,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
20100625800415,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
20100604800002,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
20100525800364,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
20100510900512,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20100503800090,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
20100503800018,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
20100503800015,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
20100426800466,label_no_value,label_present_but_value_in_unhandled_format,parser_design_candidate,date_format_or_relative_date_handling,medium,label present but value in relative/non-ISO/unhandled format; needs date-format handling expansion,parser_change_verdict,True,True,False,False,False,False,False,False,True
20100423900391,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20100423800002,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
20100420900404,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20100420800006,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
20100415900438,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20100406900218,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20100402800211,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
20100816900010,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20100811900299,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20100713800064,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
20100709900454,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20101230900335,label_no_value,label_present_but_value_in_unhandled_format,parser_design_candidate,date_format_or_relative_date_handling,medium,label present but value in relative/non-ISO/unhandled format; needs date-format handling expansion,parser_change_verdict,True,True,False,False,False,False,False,False,True
20101208900110,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20101207800314,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
20101203800171,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
20101202900370,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20101126900274,no_label_match,correction_disclosure_manual_only,correction_workflow_only,correction_adjudication_workflow_not_parser_design,n_a_not_a_parser_design_target,correction disclosure; not addressable by parser design alone; belongs to the correction adjudication workflow,manual_adjudication_approval,True,True,False,False,False,False,False,False,True
20101123900369,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20110328800872,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
20110325801948,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20110324800049,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
20110321900746,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20110318800229,label_no_value,correction_disclosure_manual_only,correction_workflow_only,correction_adjudication_workflow_not_parser_design,n_a_not_a_parser_design_target,correction disclosure; not addressable by parser design alone; belongs to the correction adjudication workflow,manual_adjudication_approval,True,True,False,False,False,False,False,False,True
20110318800215,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
20110314900626,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20110302800011,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
20110221900147,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20110215800043,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
20110211900655,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20110128800710,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
20110105900299,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20110622900185,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20110620900407,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20110506800027,label_no_value,correction_disclosure_manual_only,correction_workflow_only,correction_adjudication_workflow_not_parser_design,n_a_not_a_parser_design_target,correction disclosure; not addressable by parser design alone; belongs to the correction adjudication workflow,manual_adjudication_approval,True,True,False,False,False,False,False,False,True
20110506800018,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
20110415800136,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
20110414900462,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20110412800404,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
20110412800376,label_no_value,label_present_but_value_in_unhandled_format,parser_design_candidate,date_format_or_relative_date_handling,medium,label present but value in relative/non-ISO/unhandled format; needs date-format handling expansion,parser_change_verdict,True,True,False,False,False,False,False,False,True
20110406900111,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20110919800008,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
20110817900464,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20110727900331,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20111214900344,label_no_value,label_present_but_value_in_unhandled_format,parser_design_candidate,date_format_or_relative_date_handling,medium,label present but value in relative/non-ISO/unhandled format; needs date-format handling expansion,parser_change_verdict,True,True,False,False,False,False,False,False,True
20111124900125,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20111118900089,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20111109900220,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20111108900411,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20111024800402,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
20111020800078,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
20111013900324,label_no_value,label_present_but_value_in_unhandled_format,parser_design_candidate,date_format_or_relative_date_handling,medium,label present but value in relative/non-ISO/unhandled format; needs date-format handling expansion,parser_change_verdict,True,True,False,False,False,False,False,False,True
20111010900456,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20120329801417,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
20120329901292,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20120323800032,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
20120319800557,label_no_value,label_present_but_value_in_unhandled_format,parser_design_candidate,date_format_or_relative_date_handling,medium,label present but value in relative/non-ISO/unhandled format; needs date-format handling expansion,parser_change_verdict,True,True,False,False,False,False,False,False,True
20120302800660,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
20120229800348,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
20120227700258,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20120220900411,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20120217800440,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
20120210900002,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20120125900076,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20120118900240,no_label_match,only_generic_or_contextual_label,parser_design_candidate,contextual_or_label_pattern_expansion,uncertain_high_fp_risk,no exact date label in body (domain tokens present); contextual date extraction without a label risks false positives; a future parser-design phase must prove safety first,parser_change_verdict_after_design_proof,True,True,False,False,False,False,False,False,True
20120626800294,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
20120430800686,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,table_or_structure_aware_extraction,medium,label is a table/column header; date value sits in a non-adjacent cell lost during HTML->text flattening; needs structure/table-aware extraction design,parser_change_verdict,True,True,False,False,False,False,False,False,True
