column_name,n_callsites,n_pass,n_guarded,n_missing_guard,n_invalid_row_leak,n_ambiguous,n_not_applicable,any_callsite_outside_audit,overall_status,remediation
flag_cb_bw,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
flag_contract,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
flag_earnings,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
flag_event_risk,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
flag_large_holder,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
flag_litigation,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
flag_merger_split,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
flag_trading_halt,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
flag_treasury_stock,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
foreign_net_buy_amount,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
foreign_net_buy_shares,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
institution_net_buy_amount,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
institution_net_buy_shares,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
kospi_foreign_net,16,0,1,3,1,0,11,True,DEFECT_LEAK,block call sites + add invalid-row guard per `invalid_ohlcv_row_contract.md`
kospi_individual_net,4,0,0,0,0,0,4,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
kospi_institution_net,15,0,1,3,1,0,10,True,DEFECT_LEAK,block call sites + add invalid-row guard per `invalid_ohlcv_row_contract.md`
kospi_trade_volume,2,0,0,0,0,0,2,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
krx_foreign,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
krx_institution,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
krx_last_snapshot,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
large_foreign_net,2,0,0,0,0,0,2,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
large_institution_net,2,0,0,0,0,0,2,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
last_snapshot,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
lstg_abol_dt,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
lstg_stqt,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
markets,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
name,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
name_krx,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
panel_foreign,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
panel_institution,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
program_basis,2,0,0,0,0,0,2,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
snapshot_count,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
stock_code,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
sum_foreign_net_buy_amount,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
sum_foreign_net_buy_shares,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
sum_institution_net_buy_amount,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
sum_institution_net_buy_shares,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
ticker,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
tradable_state,10,2,0,0,0,0,8,True,AMBIGUOUS,manual review
거래대금추정,56,5,8,6,5,0,32,True,DEFECT_LEAK,block call sites + add invalid-row guard per `invalid_ohlcv_row_contract.md`
거래량,17,1,0,1,0,0,15,True,DEFECT_MISSING_GUARD,add documented guard within ±5 lines or annotate upstream quarantine
고가,27,4,1,3,0,0,19,True,DEFECT_MISSING_GUARD,add documented guard within ±5 lines or annotate upstream quarantine
기관순매매량,10,1,0,1,0,0,8,True,DEFECT_MISSING_GUARD,add documented guard within ±5 lines or annotate upstream quarantine
기관순매수금액추정,21,3,2,4,0,0,12,True,DEFECT_MISSING_GUARD,add documented guard within ±5 lines or annotate upstream quarantine
동적유니버스포함,37,5,5,8,0,0,19,True,DEFECT_MISSING_GUARD,add documented guard within ±5 lines or annotate upstream quarantine
상장주식수,10,0,0,3,1,0,6,True,DEFECT_LEAK,block call sites + add invalid-row guard per `invalid_ohlcv_row_contract.md`
시가,98,4,47,13,5,0,29,True,DEFECT_LEAK,block call sites + add invalid-row guard per `invalid_ohlcv_row_contract.md`
시가총액추정,33,0,4,14,1,0,14,True,DEFECT_LEAK,block call sites + add invalid-row guard per `invalid_ohlcv_row_contract.md`
외국인순매매량,12,1,1,2,0,0,8,True,DEFECT_MISSING_GUARD,add documented guard within ±5 lines or annotate upstream quarantine
외국인순매수금액추정,23,3,3,5,0,0,12,True,DEFECT_MISSING_GUARD,add documented guard within ±5 lines or annotate upstream quarantine
저가,25,4,1,3,0,0,17,True,DEFECT_MISSING_GUARD,add documented guard within ±5 lines or annotate upstream quarantine
종가,96,10,45,2,0,0,39,True,DEFECT_MISSING_GUARD,add documented guard within ±5 lines or annotate upstream quarantine
종목명,0,0,0,0,0,0,0,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
키움거래대금순위,4,0,0,0,0,0,4,False,AUDIT_ONLY_NO_DOWNSTREAM,no downstream consumers; column metadata stays ALLOW_WITH_GUARD
