rebalance_period_end,available_date,execution_date,ticker,sector,value_score,rank,weight,entry_close
2012-09-30,2012-11-04,2012-11-05,MA,"Services-Business Services, NEC",2.103757052086363,3,0.03333333333333333,42.98981475830078
2012-09-30,2012-11-04,2012-11-05,NKE,Rubber & Plastics Footwear,0.9177708966265766,4,0.03333333333333333,19.99363899230957
2012-09-30,2012-11-04,2012-11-05,WMT,Retail-Variety Stores,0.8968321132530548,5,0.03333333333333333,18.64676284790039
2012-09-30,2012-11-04,2012-11-05,VZ,Telephone Communications (No Radiotelephone),0.8138658658830579,6,0.03333333333333333,22.199682235717773
2012-09-30,2012-11-04,2012-11-05,C,National Commercial Banks,0.6358849422216947,7,0.03333333333333333,27.4760799407959
2012-09-30,2012-11-04,2012-11-05,UNP,"Railroads, Line-Haul Operating",0.5284817037753397,8,0.03333333333333333,46.03073501586914
2012-09-30,2012-11-04,2012-11-05,DHR,"Industrial Instruments For Measurement, Display, and Control",0.4863234678329557,9,0.03333333333333333,21.12401962280273
2012-09-30,2012-11-04,2012-11-05,ABT,Pharmaceutical Preparations,0.46838394977663356,10,0.03333333333333333,24.085643768310547
2012-09-30,2012-11-04,2012-11-05,ELV,Hospital & Medical Service Plans,0.4437965548486009,11,0.03333333333333333,49.717769622802734
2012-09-30,2012-11-04,2012-11-05,CVX,Petroleum Refining,0.3960480051060685,12,0.03333333333333333,62.50055313110352
2012-09-30,2012-11-04,2012-11-05,LMT,Guided Missiles & Space Vehicles & Parts,0.2858096248744525,13,0.03333333333333333,63.74718475341797
2012-09-30,2012-11-04,2012-11-05,GILD,"Biological Products, (No Diagnostic Substances)",0.2310450105148834,14,0.03333333333333333,23.156566619873047
2012-09-30,2012-11-04,2012-11-05,RTX,Aircraft Engines & Engine Parts,0.061446691380883364,15,0.03333333333333333,35.790470123291016
2012-09-30,2012-11-04,2012-11-05,T,Telephone Communications (No Radiotelephone),-0.015840265108821305,16,0.03333333333333333,10.22984218597412
2012-09-30,2012-11-04,2012-11-05,UNH,Hospital & Medical Service Plans,-0.023329481575989863,17,0.03333333333333333,44.35092544555664
2012-09-30,2012-11-04,2012-11-05,CAT,Construction Machinery & Equip,-0.09277310506163744,18,0.03333333333333333,61.8632926940918
2012-09-30,2012-11-04,2012-11-05,CSCO,Computer Communications Equipment,-0.10232765289679613,19,0.03333333333333333,11.54368019104004
2012-09-30,2012-11-04,2012-11-05,INTC,Semiconductors & Related Devices,-0.11583239477624305,20,0.03333333333333333,15.618253707885742
2012-09-30,2012-11-04,2012-11-05,AXP,Finance Services,-0.16446611245477769,21,0.03333333333333333,46.78419876098633
2012-09-30,2012-11-04,2012-11-05,MSFT,Services-Prepackaged Software,-0.2441365640611454,22,0.03333333333333333,23.61319732666016
2012-09-30,2012-11-04,2012-11-05,SBUX,Retail-Eating & Drinking Places,-0.24701585059734807,23,0.03333333333333333,19.56523323059082
2012-09-30,2012-11-04,2012-11-05,AMGN,"Biological Products, (No Diagnostic Substances)",-0.3098491012652661,24,0.03333333333333333,59.44675827026367
2012-09-30,2012-11-04,2012-11-05,UPS,Trucking & Courier Services (No Air),-0.4512156378020861,25,0.03333333333333333,45.10668563842773
2012-09-30,2012-11-04,2012-11-05,MCD,Retail-Eating  Places,-0.48210601446697443,26,0.03333333333333333,61.14404678344727
2012-09-30,2012-11-04,2012-11-05,AMAT,Semiconductors & Related Devices,-0.49292976042103576,27,0.03333333333333333,9.152326583862305
2012-09-30,2012-11-04,2012-11-05,APD,Industrial Inorganic Chemicals,-0.4960510625411754,28,0.03333333333333333,52.17204284667969
2012-09-30,2012-11-04,2012-11-05,SYK,Surgical & Medical Instruments & Apparatus,-0.5598240916684105,29,0.03333333333333333,44.67189407348633
2012-09-30,2012-11-04,2012-11-05,HD,Retail-Lumber & Other Building Materials Dealers,-0.5663407010470948,30,0.03333333333333333,45.69749450683594
2012-12-31,2013-02-04,2013-02-05,LRCX,"Special Industry Machinery, NEC",5.5582594846917885,1,0.03333333333333333,3.615857362747192
2012-12-31,2013-02-04,2013-02-05,MA,"Services-Business Services, NEC",3.6618767019752525,2,0.03333333333333333,48.09946823120117
2012-12-31,2013-02-04,2013-02-05,WMT,Retail-Variety Stores,2.2333733361601165,3,0.03333333333333333,18.142662048339844
2012-12-31,2013-02-04,2013-02-05,VZ,Telephone Communications (No Radiotelephone),2.0068460693364902,4,0.03333333333333333,22.64141082763672
2012-12-31,2013-02-04,2013-02-05,ABT,Pharmaceutical Preparations,1.7313462572833564,5,0.03333333333333333,26.226947784423828
2012-12-31,2013-02-04,2013-02-05,LMT,Guided Missiles & Space Vehicles & Parts,1.542710078569986,6,0.03333333333333333,59.67658996582031
2012-12-31,2013-02-04,2013-02-05,UNP,"Railroads, Line-Haul Operating",1.465348172416848,7,0.03333333333333333,49.808624267578125
2012-12-31,2013-02-04,2013-02-05,ELV,Hospital & Medical Service Plans,1.3324570516667489,8,0.03333333333333333,54.07358551025391
2012-12-31,2013-02-04,2013-02-05,C,National Commercial Banks,1.180695680054805,9,0.03333333333333333,31.606489181518555
2012-12-31,2013-02-04,2013-02-05,DHR,"Industrial Instruments For Measurement, Display, and Control",1.1579423484631,10,0.03333333333333333,24.56713485717773
2012-12-31,2013-02-04,2013-02-05,T,Telephone Communications (No Radiotelephone),0.8282264238204253,11,0.03333333333333333,10.560359001159668
2012-12-31,2013-02-04,2013-02-05,CVX,Petroleum Refining,0.8199101842784889,12,0.03333333333333333,66.86143493652344
2012-12-31,2013-02-04,2013-02-05,UNH,Hospital & Medical Service Plans,0.5820493878497894,13,0.03333333333333333,46.533390045166016
2012-12-31,2013-02-04,2013-02-05,GILD,"Biological Products, (No Diagnostic Substances)",0.5599092034641238,14,0.03333333333333333,28.00617790222168
2012-12-31,2013-02-04,2013-02-05,RTX,Aircraft Engines & Engine Parts,0.4475734457836186,15,0.03333333333333333,41.296669006347656
2012-12-31,2013-02-04,2013-02-05,INTC,Semiconductors & Related Devices,0.4421537089718927,16,0.03333333333333333,15.30905532836914
2012-12-31,2013-02-04,2013-02-05,MSFT,Services-Prepackaged Software,0.353000622501827,17,0.03333333333333333,22.09581184387207
2012-12-31,2013-02-04,2013-02-05,AXP,Finance Services,0.33852576162900294,18,0.03333333333333333,50.529422760009766
2012-12-31,2013-02-04,2013-02-05,AMGN,"Biological Products, (No Diagnostic Substances)",0.311776185224572,19,0.03333333333333333,59.82249069213867
2012-12-31,2013-02-04,2013-02-05,SBUX,Retail-Eating & Drinking Places,0.29227503653609854,20,0.03333333333333333,21.7269344329834
2012-12-31,2013-02-04,2013-02-05,CSCO,Computer Communications Equipment,0.17507102409448028,21,0.03333333333333333,14.08858585357666
2012-12-31,2013-02-04,2013-02-05,CAT,Construction Machinery & Equip,0.12485385410743483,22,0.03333333333333333,70.58781433105469
2012-12-31,2013-02-04,2013-02-05,NKE,Rubber & Plastics Footwear,-0.07542386596215728,23,0.03333333333333333,22.71908950805664
2012-12-31,2013-02-04,2013-02-05,UPS,Trucking & Courier Services (No Air),-0.18437773282883485,24,0.03333333333333333,50.02603912353516
2012-12-31,2013-02-04,2013-02-05,MCD,Retail-Eating  Places,-0.26057410985631013,25,0.03333333333333333,66.9482192993164
2012-12-31,2013-02-04,2013-02-05,HD,Retail-Lumber & Other Building Materials Dealers,-0.31690620257871616,26,0.03333333333333333,48.85414123535156
2012-12-31,2013-02-04,2013-02-05,PG,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",-0.3375375889461888,27,0.03333333333333333,52.00448989868164
2012-12-31,2013-02-04,2013-02-05,MRK,Pharmaceutical Preparations,-0.37677984046146273,28,0.03333333333333333,26.07708740234375
2012-12-31,2013-02-04,2013-02-05,SYK,Surgical & Medical Instruments & Apparatus,-0.5318956052253541,29,0.03333333333333333,53.47885894775391
2012-12-31,2013-02-04,2013-02-05,TXN,Semiconductors & Related Devices,-0.5534586745803691,30,0.03333333333333333,23.491775512695312
2013-03-31,2013-05-05,2013-05-06,MRK,Pharmaceutical Preparations,13.999999993715868,1,0.03333333333333333,28.584449768066406
2013-03-31,2013-05-05,2013-05-06,TMUS,Radiotelephone Communications,-0.28545757535009986,2,0.03333333333333333,16.960552215576172
2013-03-31,2013-05-05,2013-05-06,LRCX,"Special Industry Machinery, NEC",-0.285626029787428,3,0.03333333333333333,3.929136037826538
2013-03-31,2013-05-05,2013-05-06,C,National Commercial Banks,-0.2856438839021581,4,0.03333333333333333,34.97212600708008
2013-03-31,2013-05-05,2013-05-06,MA,"Services-Business Services, NEC",-0.2856617700716544,5,0.03333333333333333,50.65422058105469
2013-03-31,2013-05-05,2013-05-06,DHR,"Industrial Instruments For Measurement, Display, and Control",-0.2856955081802532,6,0.03333333333333333,24.83237075805664
2013-03-31,2013-05-05,2013-05-06,T,Telephone Communications (No Radiotelephone),-0.28569575732264674,7,0.03333333333333333,11.256556510925291
2013-03-31,2013-05-05,2013-05-06,UNP,"Railroads, Line-Haul Operating",-0.2856960645058638,8,0.03333333333333333,56.93479537963867
2013-03-31,2013-05-05,2013-05-06,LMT,Guided Missiles & Space Vehicles & Parts,-0.28569702809925646,9,0.03333333333333333,71.02348327636719
2013-03-31,2013-05-05,2013-05-06,VZ,Telephone Communications (No Radiotelephone),-0.28570447720328873,10,0.03333333333333333,26.72486114501953
2013-03-31,2013-05-05,2013-05-06,AXP,Finance Services,-0.28570562042752856,11,0.03333333333333333,58.53261566162109
2013-03-31,2013-05-05,2013-05-06,ELV,Hospital & Medical Service Plans,-0.28570760646204757,12,0.03333333333333333,60.7386474609375
2013-03-31,2013-05-05,2013-05-06,WMT,Retail-Variety Stores,-0.28571018581904956,13,0.03333333333333333,20.339317321777344
2013-03-31,2013-05-05,2013-05-06,CVX,Petroleum Refining,-0.28571135612909926,14,0.03333333333333333,71.7107925415039
2013-03-31,2013-05-05,2013-05-06,RTX,Aircraft Engines & Engine Parts,-0.28571267337172845,15,0.03333333333333333,43.51240921020508
2013-03-31,2013-05-05,2013-05-06,UNH,Hospital & Medical Service Plans,-0.2857138258045679,16,0.03333333333333333,48.678958892822266
2013-03-31,2013-05-05,2013-05-06,ABT,Pharmaceutical Preparations,-0.28571402201903356,17,0.03333333333333333,27.890003204345703
2013-03-31,2013-05-05,2013-05-06,SBUX,Retail-Eating & Drinking Places,-0.28571520586535243,18,0.03333333333333333,24.154788970947266
2013-03-31,2013-05-05,2013-05-06,IBM,Computer & office Equipment,-0.28571532548980616,19,0.03333333333333333,116.55349731445312
2013-03-31,2013-05-05,2013-05-06,CSCO,Computer Communications Equipment,-0.28571660090832,20,0.03333333333333333,14.02055835723877
2013-03-31,2013-05-05,2013-05-06,MSFT,Services-Prepackaged Software,-0.28571733013005873,21,0.03333333333333333,27.342103958129883
2013-03-31,2013-05-05,2013-05-06,INTC,Semiconductors & Related Devices,-0.2857191578173954,22,0.03333333333333333,17.445117950439453
2013-03-31,2013-05-05,2013-05-06,MCD,Retail-Eating  Places,-0.28572175907241687,23,0.03333333333333333,72.57959747314453
2013-03-31,2013-05-05,2013-05-06,HD,Retail-Lumber & Other Building Materials Dealers,-0.28572262518400365,24,0.03333333333333333,55.68580627441406
2013-03-31,2013-05-05,2013-05-06,UPS,Trucking & Courier Services (No Air),-0.285723418985686,25,0.03333333333333333,54.29108047485352
2013-03-31,2013-05-05,2013-05-06,AMGN,"Biological Products, (No Diagnostic Substances)",-0.2857236544489792,26,0.03333333333333333,72.86891174316406
2013-03-31,2013-05-05,2013-05-06,NKE,Rubber & Plastics Footwear,-0.28572441913746316,27,0.03333333333333333,27.06903076171875
2013-03-31,2013-05-05,2013-05-06,PG,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",-0.28572500633148473,28,0.03333333333333333,53.80524063110352
2013-03-31,2013-05-05,2013-05-06,PFE,Pharmaceutical Preparations,-0.2857259213003748,29,0.03333333333333333,15.6307954788208
2013-03-31,2013-05-05,2013-05-06,MU,Semiconductors & Related Devices,-0.28572682307394776,30,0.03333333333333333,9.518802642822266
2013-06-30,2013-08-04,2013-08-05,AAPL,Electronic Computers,13.273111622612532,1,0.03333333333333333,14.355008125305176
2013-06-30,2013-08-04,2013-08-05,TMUS,Radiotelephone Communications,3.2337658614640916,2,0.03333333333333333,23.74862289428711
2013-06-30,2013-08-04,2013-08-05,LRCX,"Special Industry Machinery, NEC",0.9710252858248339,3,0.03333333333333333,4.206757068634033
2013-06-30,2013-08-04,2013-08-05,C,National Commercial Banks,0.6890097897019567,4,0.03333333333333333,38.9496955871582
2013-06-30,2013-08-04,2013-08-05,MA,"Services-Business Services, NEC",0.5871358642668537,5,0.03333333333333333,59.47482299804688
2013-06-30,2013-08-04,2013-08-05,T,Telephone Communications (No Radiotelephone),0.11573079592817198,6,0.03333333333333333,11.008651733398438
2013-06-30,2013-08-04,2013-08-05,UNP,"Railroads, Line-Haul Operating",0.05005678424755741,7,0.03333333333333333,61.17731857299805
2013-06-30,2013-08-04,2013-08-05,DHR,"Industrial Instruments For Measurement, Display, and Control",0.03623717464029513,8,0.03333333333333333,27.19650650024414
2013-06-30,2013-08-04,2013-08-05,VZ,Telephone Communications (No Radiotelephone),0.029279251913193853,9,0.03333333333333333,26.041561126708984
2013-06-30,2013-08-04,2013-08-05,WMT,Retail-Variety Stores,-0.007651762183232519,10,0.03333333333333333,20.44572639465332
2013-06-30,2013-08-04,2013-08-05,LMT,Guided Missiles & Space Vehicles & Parts,-0.05595271961113801,11,0.03333333333333333,87.22071838378906
2013-06-30,2013-08-04,2013-08-05,CVX,Petroleum Refining,-0.0992895902502409,12,0.03333333333333333,72.72313690185547
2013-06-30,2013-08-04,2013-08-05,AXP,Finance Services,-0.12015657443468611,13,0.03333333333333333,63.63029098510742
2013-06-30,2013-08-04,2013-08-05,ELV,Hospital & Medical Service Plans,-0.14208934149436803,14,0.03333333333333333,72.79096221923828
2013-06-30,2013-08-04,2013-08-05,DUK,Electric & Other Services Combined,-0.17473790918163193,15,0.03333333333333333,41.74918365478516
2013-06-30,2013-08-04,2013-08-05,IBM,Computer & office Equipment,-0.18736893304605012,16,0.03333333333333333,112.8957748413086
2013-06-30,2013-08-04,2013-08-05,RTX,Aircraft Engines & Engine Parts,-0.19823678016468343,17,0.03333333333333333,49.911075592041016
2013-06-30,2013-08-04,2013-08-05,ABT,Pharmaceutical Preparations,-0.2298667952215579,18,0.03333333333333333,28.471529006958008
2013-06-30,2013-08-04,2013-08-05,MSFT,Services-Prepackaged Software,-0.2326458506299049,19,0.03333333333333333,25.86141014099121
2013-06-30,2013-08-04,2013-08-05,INTC,Semiconductors & Related Devices,-0.2623789867109251,20,0.03333333333333333,16.886432647705078
2013-06-30,2013-08-04,2013-08-05,SBUX,Retail-Eating & Drinking Places,-0.2711512154203738,21,0.03333333333333333,28.69327163696289
2013-06-30,2013-08-04,2013-08-05,UNH,Hospital & Medical Service Plans,-0.27269771212786587,22,0.03333333333333333,59.565521240234375
2013-06-30,2013-08-04,2013-08-05,CSCO,Computer Communications Equipment,-0.2969025285521114,23,0.03333333333333333,17.85081672668457
2013-06-30,2013-08-04,2013-08-05,MCD,Retail-Eating  Places,-0.30284421853445054,24,0.03333333333333333,71.17030334472656
2013-06-30,2013-08-04,2013-08-05,HD,Retail-Lumber & Other Building Materials Dealers,-0.32012193348652385,25,0.03333333333333333,59.2335319519043
2013-06-30,2013-08-04,2013-08-05,AMGN,"Biological Products, (No Diagnostic Substances)",-0.340351989910631,26,0.03333333333333333,75.00601959228516
2013-06-30,2013-08-04,2013-08-05,PFE,Pharmaceutical Preparations,-0.34799541648320975,27,0.03333333333333333,16.149658203125
2013-06-30,2013-08-04,2013-08-05,UPS,Trucking & Courier Services (No Air),-0.35848031035764216,28,0.03333333333333333,55.18685150146485
2013-06-30,2013-08-04,2013-08-05,NKE,Rubber & Plastics Footwear,-0.36894352528902163,29,0.03333333333333333,28.195777893066406
2013-06-30,2013-08-04,2013-08-05,PG,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",-0.3689869384518479,30,0.03333333333333333,56.75308609008789
2013-09-30,2013-11-04,2013-11-05,AAPL,Electronic Computers,13.92514792863265,1,0.03333333333333333,16.173484802246094
2013-09-30,2013-11-04,2013-11-05,TMUS,Radiotelephone Communications,1.5722302061428057,2,0.03333333333333333,27.03689956665039
2013-09-30,2013-11-04,2013-11-05,C,National Commercial Banks,1.0581673709944863,3,0.03333333333333333,35.64902877807617
2013-09-30,2013-11-04,2013-11-05,LRCX,"Special Industry Machinery, NEC",1.040615917392234,4,0.03333333333333333,4.597292423248291
2013-09-30,2013-11-04,2013-11-05,MA,"Services-Business Services, NEC",0.6265098568289686,5,0.03333333333333333,68.231201171875
2013-09-30,2013-11-04,2013-11-05,T,Telephone Communications (No Radiotelephone),0.2118301842748301,6,0.03333333333333333,11.161027908325195
2013-09-30,2013-11-04,2013-11-05,UNP,"Railroads, Line-Haul Operating",0.18745310614147453,7,0.03333333333333333,58.16780853271485
2013-09-30,2013-11-04,2013-11-05,VZ,Telephone Communications (No Radiotelephone),0.14853188086146604,8,0.03333333333333333,26.279027938842773
2013-09-30,2013-11-04,2013-11-05,WMT,Retail-Variety Stores,0.09926364985957759,9,0.03333333333333333,20.21735000610352
2013-09-30,2013-11-04,2013-11-05,DHR,"Industrial Instruments For Measurement, Display, and Control",0.05933195949530849,10,0.03333333333333333,29.4235782623291
2013-09-30,2013-11-04,2013-11-05,CVX,Petroleum Refining,-0.03575932085389072,11,0.03333333333333333,70.0477294921875
2013-09-30,2013-11-04,2013-11-05,NFLX,Services-Video Tape Rental,-0.04566645196661012,12,0.03333333333333333,4.878571033477783
2013-09-30,2013-11-04,2013-11-05,LMT,Guided Missiles & Space Vehicles & Parts,-0.046031912315669096,13,0.03333333333333333,96.06952667236328
2013-09-30,2013-11-04,2013-11-05,IBM,Computer & office Equipment,-0.08492905244245404,14,0.03333333333333333,103.21686553955078
2013-09-30,2013-11-04,2013-11-05,ELV,Hospital & Medical Service Plans,-0.08988808452822693,15,0.03333333333333333,72.89445495605469
2013-09-30,2013-11-04,2013-11-05,AXP,Finance Services,-0.10904021127270846,16,0.03333333333333333,68.84175872802734
2013-09-30,2013-11-04,2013-11-05,PFE,Pharmaceutical Preparations,-0.13029992745786434,17,0.03333333333333333,17.283836364746094
2013-09-30,2013-11-04,2013-11-05,RTX,Aircraft Engines & Engine Parts,-0.15562097039601058,18,0.03333333333333333,50.65157699584961
2013-09-30,2013-11-04,2013-11-05,DUK,Electric & Other Services Combined,-0.16012330963763033,19,0.03333333333333333,42.852909088134766
2013-09-30,2013-11-04,2013-11-05,CSCO,Computer Communications Equipment,-0.2105256146507922,20,0.03333333333333333,15.76694107055664
2013-09-30,2013-11-04,2013-11-05,UNH,Hospital & Medical Service Plans,-0.21278621511481466,21,0.03333333333333333,56.02342224121094
2013-09-30,2013-11-04,2013-11-05,INTC,Semiconductors & Related Devices,-0.2546673248290303,22,0.03333333333333333,17.869966506958008
2013-09-30,2013-11-04,2013-11-05,MSFT,Services-Prepackaged Software,-0.2617944216438026,23,0.03333333333333333,30.102169036865234
2013-09-30,2013-11-04,2013-11-05,MCD,Retail-Eating  Places,-0.2700904870834738,24,0.03333333333333333,70.37264251708984
