ticker,cik,entity_name,us_gaap_concept_count,earliest_filing,latest_filing,Revenue,NetIncome,OperatingIncome,StockholdersEquity,Assets,CFO,Buybacks,Cash,LongTermDebt,TotalLiabilities,EPS_Basic,EPS_Diluted,CapEx,Shares,Dividends
ISRG,0001035267,"Intuitive Surgical, Inc.",577,2009-07-23,2026-04-22,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
REGN,0000872589,"REGENERON PHARMACEUTICALS, INC.",471,2010-07-28,2026-04-29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
VRTX,0000875320,VERTEX PHARMACEUTICALS INC / MA,638,2010-05-03,2026-05-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
BIIB,0000875045,BIOGEN INC.,659,2009-07-17,2026-04-29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
MU,0000723125,MICRON TECHNOLOGY INC,629,2010-01-12,2026-03-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KLAC,0000319201,KLA CORPORATION,667,2010-11-24,2026-04-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LRCX,0000707549,LAM RESEARCH CORPORATION,622,2010-11-03,2026-04-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AMAT,0000006951,APPLIED MATERIALS INC /DE,709,2009-09-01,2026-02-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ASML,0000937966,ASML HOLDING NV,623,2010-02-26,2026-02-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NKE,0000320187,"NIKE, Inc.",426,2009-10-08,2026-04-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SBUX,0000829224,Starbucks Corporation,557,2009-08-05,2026-04-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCD,0000063908,McDONALD’S CORPORATION,433,2009-08-06,2026-05-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DIS,0001744489,WALT DISNEY CO/,494,2019-05-08,2026-05-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T,0000732717,AT&T INC.,713,2009-08-05,2026-04-27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
VZ,0000732712,VERIZON COMMUNICATIONS INC,677,2009-07-30,2026-05-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMCSA,0001166691,Comcast Corporation,465,2009-08-06,2026-04-24,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
TMUS,0001283699,"T-Mobile US, Inc.",721,2010-08-09,2026-04-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHTR,0001091667,"Charter Communications, Inc.",504,2011-05-03,2026-04-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
F,0000037996,Ford Motor Co,586,2009-08-05,2026-04-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GM,0001467858,GENERAL MOTORS COMPANY,617,2011-08-05,2026-04-28,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
UPS,0001090727,"United Parcel Service, Inc",580,2009-08-07,2026-05-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FDX,0001048911,FedEx Corporation,493,2009-09-18,2026-03-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
UNP,0000100885,UNION PACIFIC CORP,449,2009-07-24,2026-04-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LIN,0001707925,LINDE PLC,469,2017-10-30,2026-05-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DOW,0001751788,Dow Inc.,501,2019-05-03,2026-04-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
APD,0000002969,"AIR PRODUCTS AND CHEMICALS, INC.",824,2009-07-24,2026-04-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FCX,0000831259,Freeport-McMoRan Inc.,766,2009-05-11,2026-05-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NEM,0001164727,NEWMONT CORPORATION,823,2009-04-30,2026-04-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GOLD,0001591588,"Gold.com, Inc.",447,2014-03-27,2026-05-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NEE,0000753308,"NEXTERA ENERGY, INC.",455,2009-07-31,2026-04-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DUK,0001326160,DUKE ENERGY CORPORATION,911,2009-08-07,2026-05-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SO,0000092122,The Southern Company,629,2009-08-27,2026-04-30,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
AEP,0000004904,AMERICAN ELECTRIC POWER CO INC.,633,2009-08-04,2026-05-05,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
