filename,local_path,bytes,sha256,source_url,retrieved_at_utc,artifact_kind,license_note,parse_status
19.12.hwp,/home/jin/code/quant/research_input_data/정기변경/19.12.hwp,310784,d0f3ac4f43dad80230fc69f025df3108a2b0b29f6488fe80a67dd240a30e0d7e,user_supplied_not_in_tier1_cycle=2019-12,2026-05-30T15:08:02.968152+00:00,user_supplied_attachment,KRX public press notice — non-commercial research/reconciliation use,deferred_per_Referee_hwp_parse_out_of_scope__not_in_tier1
20.6.pdf,/home/jin/code/quant/research_input_data/정기변경/20.6.pdf,415033,f5d69a3682bfd422438efebf0e3830832bd3d08d8e8ddd0fe8dbd0851b49057b,user_supplied_broker_publication_for_cycle=2020-06,2026-05-30T15:08:02.968152+00:00,user_supplied_attachment,broker publication user-supplied; secondary cross-check only; user attests credibility,deferred_per_Referee_broker_pdf_secondary_only
20.12.pdf,/home/jin/code/quant/research_input_data/정기변경/20.12.pdf,796498,d8da037c003edcaef79b221cdf1f9499291523d8f43394be5772394967da5df6,user_supplied_broker_publication_for_cycle=2020-12,2026-05-30T15:08:02.968152+00:00,user_supplied_attachment,broker publication user-supplied; secondary cross-check only; user attests credibility,deferred_per_Referee_broker_pdf_secondary_only
21.6.xlsx,/home/jin/code/quant/research_input_data/정기변경/21.6.xlsx,36808,af327b2c2befeb57d8dd7506b1e45a8c9f04d1c237896d1ac74f3ac8501d2810,user_supplied_from_KRX_MDCINFO005_bbsSeq=734,2026-05-30T15:08:02.968152+00:00,user_supplied_attachment,KRX public press notice — non-commercial research/reconciliation use,parsed_direct_change_detail_sheet
"21.06+KOSPI+200,+KOSDAQ+150,+KRX+300+공지파일.xlsx","/home/jin/code/quant/research_input_data/정기변경/21.06+KOSPI+200,+KOSDAQ+150,+KRX+300+공지파일.xlsx",36808,af327b2c2befeb57d8dd7506b1e45a8c9f04d1c237896d1ac74f3ac8501d2810,user_supplied_from_KRX_MDCINFO005_bbsSeq=734,2026-05-30T15:08:02.968152+00:00,user_supplied_attachment,KRX public press notice — non-commercial research/reconciliation use,duplicate_of_21.6.xlsx_same_sha256
21.12.xlsx,/home/jin/code/quant/research_input_data/정기변경/21.12.xlsx,31700,dba82397e46ed1081f955caf451066ad1e9828308bea9796717602cd031ef1b1,user_supplied_from_KRX_MDCINFO005_bbsSeq=774,2026-05-30T15:08:02.968152+00:00,user_supplied_attachment,KRX public press notice — non-commercial research/reconciliation use,snapshot_diff_against_21.6
22.6.xlsx,/home/jin/code/quant/research_input_data/정기변경/22.6.xlsx,32879,62f5385fc780f73c28146d2b471edfd35d49fec0a6e7eb9ac6cb98672ca9bd30,user_supplied_from_KRX_MDCINFO005_bbsSeq=799,2026-05-30T15:08:02.968152+00:00,user_supplied_attachment,KRX public press notice — non-commercial research/reconciliation use,snapshot_diff_against_21.12
22.12.xlsx,/home/jin/code/quant/research_input_data/정기변경/22.12.xlsx,28316,a80b67a937f65fd4a0bc2a4b62ee8fa5f6707ebc999bec2893a93a1c08e64718,user_supplied_not_in_tier1_cycle=2022-12,2026-05-30T15:08:02.968152+00:00,user_supplied_attachment,KRX public press notice — non-commercial research/reconciliation use,bridge_only_not_in_tier1__snapshot_diff_against_22.6
23.6.xlsx,/home/jin/code/quant/research_input_data/정기변경/23.6.xlsx,29383,2af53cd63d996c3fb11acda60a9ec3848d93df35465b583e02984a04ffe41ee5,user_supplied_from_KRX_MDCINFO005_bbsSeq=861,2026-05-30T15:08:02.968152+00:00,user_supplied_attachment,KRX public press notice — non-commercial research/reconciliation use,snapshot_diff_against_22.12_bridge
23.12.xlsx,/home/jin/code/quant/research_input_data/정기변경/23.12.xlsx,29829,aadaff748e7f21991166e04f74fce1697e62b7c904d079d845033482ed7f62c3,user_supplied_from_KRX_MDCINFO005_bbsSeq=899,2026-05-30T15:08:02.968152+00:00,user_supplied_attachment,KRX public press notice — non-commercial research/reconciliation use,snapshot_diff_against_23.6
24.6.xlsx,/home/jin/code/quant/research_input_data/정기변경/24.6.xlsx,29868,676c59bb753a4632489b3f2c9d11c6479fb3396af47eb2563c907b161a299692,user_supplied_from_KRX_MDCINFO005_bbsSeq=939,2026-05-30T15:08:02.968152+00:00,user_supplied_attachment,KRX public press notice — non-commercial research/reconciliation use,snapshot_diff_against_23.12
24.12.xlsx,/home/jin/code/quant/research_input_data/정기변경/24.12.xlsx,30106,1c823a0f07d113fbfb7dcc340c9863c9d1d1dc90ca6f2271e4e8cd5e4e47ffb0,user_supplied_from_KRX_MDCINFO005_bbsSeq=979,2026-05-30T15:08:02.968152+00:00,user_supplied_attachment,KRX public press notice — non-commercial research/reconciliation use,snapshot_diff_against_24.6
25.6.xlsx,/home/jin/code/quant/research_input_data/정기변경/25.6.xlsx,32874,519d97e0da0deb1a35a72113649440977e3dffd3d4069144fe7c334a1f19a113,user_supplied_from_KRX_MDCINFO005_bbsSeq=1015,2026-05-30T15:08:02.968152+00:00,user_supplied_attachment,KRX public press notice — non-commercial research/reconciliation use,snapshot_diff_against_24.12
25.12.xlsx,/home/jin/code/quant/research_input_data/정기변경/25.12.xlsx,30357,d2d8a065e64d365eb744dcfeae16b9dde98b5ef56ec0cc07b0f38e32a23b1bc3,user_supplied_from_KRX_MDCINFO005_bbsSeq=1050,2026-05-30T15:08:02.968152+00:00,user_supplied_attachment,KRX public press notice — non-commercial research/reconciliation use,snapshot_diff_against_25.6
26.6.xlsx,/home/jin/code/quant/research_input_data/정기변경/26.6.xlsx,30142,73daff6201ce73c2112011ab61d3b00586fd1c78a2cb6543ac342aa1a156706a,user_supplied_from_KRX_MDCINFO005_bbsSeq=1090,2026-05-30T15:08:02.968152+00:00,user_supplied_attachment,KRX public press notice — non-commercial research/reconciliation use,snapshot_diff_against_25.12
