frequency,label,tax_year,capital_gains_tax_krw,dividend_withholding_krw,total_tax_paid_krw,average_year,max_year
semiannual,Semiannual,2021,1774197.2792740625,748691.2346671915,2522888.513941254,1455061.8095442113,4278249.7202554615
semiannual,Semiannual,2022,2780923.805332435,727289.3831001568,3508213.1884325915,1455061.8095442113,4278249.7202554615
semiannual,Semiannual,2023,1649738.3500544662,775665.8347783657,2425404.184832832,1455061.8095442113,4278249.7202554615
semiannual,Semiannual,2024,3311097.635302293,967152.0849531684,4278249.7202554615,1455061.8095442113,4278249.7202554615
semiannual,Semiannual,2025,2870756.3725361414,1074460.3694224742,3945216.7419586154,1455061.8095442113,4278249.7202554615
semiannual,Semiannual,2026,0.0,658072.5396858854,658072.5396858854,1455061.8095442113,4278249.7202554615
annual,Annual,2010,0.0,246772.69292697456,246772.69292697456,1540677.460003076,7057879.034054498
annual,Annual,2011,0.0,266097.58788202604,266097.58788202604,1540677.460003076,7057879.034054498
annual,Annual,2012,0.0,276836.428533656,276836.428533656,1540677.460003076,7057879.034054498
annual,Annual,2013,0.0,299469.9693735991,299469.9693735991,1540677.460003076,7057879.034054498
annual,Annual,2014,303328.7052009822,339608.59465080895,642937.2998517912,1540677.460003076,7057879.034054498
annual,Annual,2015,987.5583028072119,384542.48792258085,385530.04622538807,1540677.460003076,7057879.034054498
annual,Annual,2016,0.0,405082.1647331197,405082.1647331197,1540677.460003076,7057879.034054498
annual,Annual,2017,123741.44453554632,419007.6259852337,542749.07052078,1540677.460003076,7057879.034054498
annual,Annual,2018,509190.09079553327,462623.3490304339,971813.4398259672,1540677.460003076,7057879.034054498
annual,Annual,2019,0.0,525869.4296460971,525869.4296460971,1540677.460003076,7057879.034054498
annual,Annual,2020,2066035.0519546936,615861.4942503251,2681896.5462050186,1540677.460003076,7057879.034054498
annual,Annual,2021,928630.6780862267,741832.630917017,1670463.3090032437,1540677.460003076,7057879.034054498
annual,Annual,2022,4638668.1063818615,764207.8043835042,5402875.910765366,1540677.460003076,7057879.034054498
annual,Annual,2023,0.0,764534.7363753584,764534.7363753584,1540677.460003076,7057879.034054498
annual,Annual,2024,2424139.0125277033,956819.1466890278,3380958.159216731,1540677.460003076,7057879.034054498
annual,Annual,2025,5962806.151165283,1095072.8828892147,7057879.034054498,1540677.460003076,7057879.034054498
annual,Annual,2026,0.0,669750.9949126734,669750.9949126734,1540677.460003076,7057879.034054498
no_rebalance,No-rebalance,2010,0.0,246772.69292697456,246772.69292697456,516234.9953550795,1079418.4000509093
no_rebalance,No-rebalance,2011,0.0,264709.6644284496,264709.6644284496,516234.9953550795,1079418.4000509093
no_rebalance,No-rebalance,2012,0.0,290497.34232536244,290497.34232536244,516234.9953550795,1079418.4000509093
no_rebalance,No-rebalance,2013,0.0,301093.5176209561,301093.5176209561,516234.9953550795,1079418.4000509093
no_rebalance,No-rebalance,2014,0.0,318449.7622620296,318449.7622620296,516234.9953550795,1079418.4000509093
no_rebalance,No-rebalance,2015,0.0,364732.85528612963,364732.85528612963,516234.9953550795,1079418.4000509093
no_rebalance,No-rebalance,2016,0.0,388656.0065070519,388656.0065070519,516234.9953550795,1079418.4000509093
no_rebalance,No-rebalance,2017,0.0,407333.2146183549,407333.2146183549,516234.9953550795,1079418.4000509093
no_rebalance,No-rebalance,2018,0.0,421459.27380983176,421459.27380983176,516234.9953550795,1079418.4000509093
no_rebalance,No-rebalance,2019,0.0,497032.5570156416,497032.5570156416,516234.9953550795,1079418.4000509093
no_rebalance,No-rebalance,2020,0.0,569695.4905619514,569695.4905619514,516234.9953550795,1079418.4000509093
no_rebalance,No-rebalance,2021,0.0,667420.3185690232,667420.3185690232,516234.9953550795,1079418.4000509093
no_rebalance,No-rebalance,2022,0.0,663157.5878734542,663157.5878734542,516234.9953550795,1079418.4000509093
no_rebalance,No-rebalance,2023,0.0,738850.7473695066,738850.7473695066,516234.9953550795,1079418.4000509093
no_rebalance,No-rebalance,2024,0.0,933456.4905882061,933456.4905882061,516234.9953550795,1079418.4000509093
no_rebalance,No-rebalance,2025,0.0,1079418.4000509093,1079418.4000509093,516234.9953550795,1079418.4000509093
no_rebalance,No-rebalance,2026,0.0,623258.9992225191,623258.9992225191,516234.9953550795,1079418.4000509093
threshold_5pp,Threshold 5pp,2010,0.0,246772.69292697456,246772.69292697456,1594247.7285144944,7328351.040012151
threshold_5pp,Threshold 5pp,2011,0.0,264709.6644284496,264709.6644284496,1594247.7285144944,7328351.040012151
threshold_5pp,Threshold 5pp,2012,0.0,290497.34232536244,290497.34232536244,1594247.7285144944,7328351.040012151
threshold_5pp,Threshold 5pp,2013,474807.0717095222,304640.80017048935,779447.8718800116,1594247.7285144944,7328351.040012151
threshold_5pp,Threshold 5pp,2014,0.0,333023.5994905836,333023.5994905836,1594247.7285144944,7328351.040012151
threshold_5pp,Threshold 5pp,2015,0.0,380831.35771170043,380831.35771170043,1594247.7285144944,7328351.040012151
threshold_5pp,Threshold 5pp,2016,1628608.934116234,408386.8781571514,2036995.8122733855,1594247.7285144944,7328351.040012151
threshold_5pp,Threshold 5pp,2017,0.0,428384.2275312473,428384.2275312473,1594247.7285144944,7328351.040012151
threshold_5pp,Threshold 5pp,2018,1195258.385550752,478531.88158095395,1673790.267131706,1594247.7285144944,7328351.040012151
threshold_5pp,Threshold 5pp,2019,627266.7358336038,534544.7000585796,1161811.4358921833,1594247.7285144944,7328351.040012151
threshold_5pp,Threshold 5pp,2020,2608295.9670533757,596774.3629437308,3205070.3299971065,1594247.7285144944,7328351.040012151
threshold_5pp,Threshold 5pp,2021,4619371.703649656,727166.38400383,5346538.087653486,1594247.7285144944,7328351.040012151
threshold_5pp,Threshold 5pp,2022,0.0,766676.4547991592,766676.4547991592,1594247.7285144944,7328351.040012151
threshold_5pp,Threshold 5pp,2023,0.0,803377.8350972247,803377.8350972247,1594247.7285144944,7328351.040012151
threshold_5pp,Threshold 5pp,2024,6339670.704138526,988680.3358736249,7328351.040012151,1594247.7285144944,7328351.040012151
threshold_5pp,Threshold 5pp,2025,0.0,1121128.7190908657,1121128.7190908657,1594247.7285144944,7328351.040012151
threshold_5pp,Threshold 5pp,2026,201822.82637566116,732981.8201291418,934804.646504803,1594247.7285144944,7328351.040012151
threshold_10pp,Threshold 10pp,2010,0.0,246772.69292697456,246772.69292697456,1766514.1552473495,13430585.770904262
threshold_10pp,Threshold 10pp,2011,0.0,264709.6644284496,264709.6644284496,1766514.1552473495,13430585.770904262
threshold_10pp,Threshold 10pp,2012,0.0,290497.34232536244,290497.34232536244,1766514.1552473495,13430585.770904262
threshold_10pp,Threshold 10pp,2013,0.0,301093.5176209561,301093.5176209561,1766514.1552473495,13430585.770904262
threshold_10pp,Threshold 10pp,2014,0.0,318449.7622620296,318449.7622620296,1766514.1552473495,13430585.770904262
threshold_10pp,Threshold 10pp,2015,2841179.6554017314,373765.6920043799,3214945.347406111,1766514.1552473495,13430585.770904262
threshold_10pp,Threshold 10pp,2016,0.0,426160.79851434205,426160.79851434205,1766514.1552473495,13430585.770904262
threshold_10pp,Threshold 10pp,2017,0.0,435941.0094547884,435941.0094547884,1766514.1552473495,13430585.770904262
threshold_10pp,Threshold 10pp,2018,0.0,443790.8012284899,443790.8012284899,1766514.1552473495,13430585.770904262
threshold_10pp,Threshold 10pp,2019,0.0,520765.6501906831,520765.6501906831,1766514.1552473495,13430585.770904262
threshold_10pp,Threshold 10pp,2020,5492201.657595066,616366.0909279769,6108567.7485230435,1766514.1552473495,13430585.770904262
threshold_10pp,Threshold 10pp,2021,0.0,700408.6323100582,700408.6323100582,1766514.1552473495,13430585.770904262
threshold_10pp,Threshold 10pp,2022,0.0,699504.5806171574,699504.5806171574,1766514.1552473495,13430585.770904262
threshold_10pp,Threshold 10pp,2023,0.0,747458.042080838,747458.042080838,1766514.1552473495,13430585.770904262
threshold_10pp,Threshold 10pp,2024,12420910.59653921,1009675.1743650503,13430585.770904262,1766514.1552473495,13430585.770904262
threshold_10pp,Threshold 10pp,2025,0.0,1128458.122390097,1128458.122390097,1766514.1552473495,13430585.770904262
threshold_10pp,Threshold 10pp,2026,0.0,752631.1560212994,752631.1560212994,1766514.1552473495,13430585.770904262
