bbs_seq,cycle_or_reg_dt,event_sub_class,attempt_type,url_template_or_call,observed_result,blocker_class,attempted_at_utc
192,2011-03-07,special_change_pre_2017_naming,direct_static_kind,https://kind.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 405 Method Not Allowed — confirmed via single probe bbsSeq=159,STATIC_PATH_405_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
192,2011-03-07,special_change_pre_2017_naming,wayback_machine,archive.org/wayback/available?url=<detail_page>,archived_snapshots: {} — confirmed via single probe bbsSeq=159,NO_WAYBACK_COVERAGE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
194,2011-03-11,special_deletion,OTP_two_step,data.krx.co.kr requestUrlFileUrl + file.krx.co.kr download.jspx,HTTP 200 with Content-Length: 0 (empty body) — confirmed via single probe bbsSeq=159,BLOCKED_OTP_SANDBOX_EGRESS_ANTI_BOT_SAME_AS_BX01_SOURCE_A0_AND_MISSING_TIER1_A0,2026-05-31T02:25:00Z
194,2011-03-11,special_deletion,direct_static_data_krx,https://data.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 404 — confirmed via single probe bbsSeq=159,STATIC_PATH_NOT_AVAILABLE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
194,2011-03-11,special_deletion,direct_static_kind,https://kind.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 405 Method Not Allowed — confirmed via single probe bbsSeq=159,STATIC_PATH_405_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
194,2011-03-11,special_deletion,wayback_machine,archive.org/wayback/available?url=<detail_page>,archived_snapshots: {} — confirmed via single probe bbsSeq=159,NO_WAYBACK_COVERAGE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
249,2012-12-12,special_change_pre_2017_naming,OTP_two_step,data.krx.co.kr requestUrlFileUrl + file.krx.co.kr download.jspx,HTTP 200 with Content-Length: 0 (empty body) — confirmed via single probe bbsSeq=159,BLOCKED_OTP_SANDBOX_EGRESS_ANTI_BOT_SAME_AS_BX01_SOURCE_A0_AND_MISSING_TIER1_A0,2026-05-31T02:25:00Z
249,2012-12-12,special_change_pre_2017_naming,direct_static_data_krx,https://data.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 404 — confirmed via single probe bbsSeq=159,STATIC_PATH_NOT_AVAILABLE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
249,2012-12-12,special_change_pre_2017_naming,direct_static_kind,https://kind.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 405 Method Not Allowed — confirmed via single probe bbsSeq=159,STATIC_PATH_405_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
249,2012-12-12,special_change_pre_2017_naming,wayback_machine,archive.org/wayback/available?url=<detail_page>,archived_snapshots: {} — confirmed via single probe bbsSeq=159,NO_WAYBACK_COVERAGE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
253,2012-12-31,special_change_pre_2017_naming,OTP_two_step,data.krx.co.kr requestUrlFileUrl + file.krx.co.kr download.jspx,HTTP 200 with Content-Length: 0 (empty body) — confirmed via single probe bbsSeq=159,BLOCKED_OTP_SANDBOX_EGRESS_ANTI_BOT_SAME_AS_BX01_SOURCE_A0_AND_MISSING_TIER1_A0,2026-05-31T02:25:00Z
253,2012-12-31,special_change_pre_2017_naming,direct_static_data_krx,https://data.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 404 — confirmed via single probe bbsSeq=159,STATIC_PATH_NOT_AVAILABLE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
253,2012-12-31,special_change_pre_2017_naming,direct_static_kind,https://kind.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 405 Method Not Allowed — confirmed via single probe bbsSeq=159,STATIC_PATH_405_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
253,2012-12-31,special_change_pre_2017_naming,wayback_machine,archive.org/wayback/available?url=<detail_page>,archived_snapshots: {} — confirmed via single probe bbsSeq=159,NO_WAYBACK_COVERAGE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
260,2013-03-22,special_change_pre_2017_naming,OTP_two_step,data.krx.co.kr requestUrlFileUrl + file.krx.co.kr download.jspx,HTTP 200 with Content-Length: 0 (empty body) — confirmed via single probe bbsSeq=159,BLOCKED_OTP_SANDBOX_EGRESS_ANTI_BOT_SAME_AS_BX01_SOURCE_A0_AND_MISSING_TIER1_A0,2026-05-31T02:25:00Z
260,2013-03-22,special_change_pre_2017_naming,direct_static_data_krx,https://data.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 404 — confirmed via single probe bbsSeq=159,STATIC_PATH_NOT_AVAILABLE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
260,2013-03-22,special_change_pre_2017_naming,direct_static_kind,https://kind.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 405 Method Not Allowed — confirmed via single probe bbsSeq=159,STATIC_PATH_405_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
260,2013-03-22,special_change_pre_2017_naming,wayback_machine,archive.org/wayback/available?url=<detail_page>,archived_snapshots: {} — confirmed via single probe bbsSeq=159,NO_WAYBACK_COVERAGE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
261,2013-03-28,special_deletion,OTP_two_step,data.krx.co.kr requestUrlFileUrl + file.krx.co.kr download.jspx,HTTP 200 with Content-Length: 0 (empty body) — confirmed via single probe bbsSeq=159,BLOCKED_OTP_SANDBOX_EGRESS_ANTI_BOT_SAME_AS_BX01_SOURCE_A0_AND_MISSING_TIER1_A0,2026-05-31T02:25:00Z
261,2013-03-28,special_deletion,direct_static_data_krx,https://data.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 404 — confirmed via single probe bbsSeq=159,STATIC_PATH_NOT_AVAILABLE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
261,2013-03-28,special_deletion,direct_static_kind,https://kind.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 405 Method Not Allowed — confirmed via single probe bbsSeq=159,STATIC_PATH_405_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
261,2013-03-28,special_deletion,wayback_machine,archive.org/wayback/available?url=<detail_page>,archived_snapshots: {} — confirmed via single probe bbsSeq=159,NO_WAYBACK_COVERAGE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
262,2013-04-02,special_change_pre_2017_naming,OTP_two_step,data.krx.co.kr requestUrlFileUrl + file.krx.co.kr download.jspx,HTTP 200 with Content-Length: 0 (empty body) — confirmed via single probe bbsSeq=159,BLOCKED_OTP_SANDBOX_EGRESS_ANTI_BOT_SAME_AS_BX01_SOURCE_A0_AND_MISSING_TIER1_A0,2026-05-31T02:25:00Z
262,2013-04-02,special_change_pre_2017_naming,direct_static_data_krx,https://data.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 404 — confirmed via single probe bbsSeq=159,STATIC_PATH_NOT_AVAILABLE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
262,2013-04-02,special_change_pre_2017_naming,direct_static_kind,https://kind.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 405 Method Not Allowed — confirmed via single probe bbsSeq=159,STATIC_PATH_405_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
262,2013-04-02,special_change_pre_2017_naming,wayback_machine,archive.org/wayback/available?url=<detail_page>,archived_snapshots: {} — confirmed via single probe bbsSeq=159,NO_WAYBACK_COVERAGE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
264,2013-04-18,special_change_pre_2017_naming,OTP_two_step,data.krx.co.kr requestUrlFileUrl + file.krx.co.kr download.jspx,HTTP 200 with Content-Length: 0 (empty body) — confirmed via single probe bbsSeq=159,BLOCKED_OTP_SANDBOX_EGRESS_ANTI_BOT_SAME_AS_BX01_SOURCE_A0_AND_MISSING_TIER1_A0,2026-05-31T02:25:00Z
264,2013-04-18,special_change_pre_2017_naming,direct_static_data_krx,https://data.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 404 — confirmed via single probe bbsSeq=159,STATIC_PATH_NOT_AVAILABLE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
264,2013-04-18,special_change_pre_2017_naming,direct_static_kind,https://kind.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 405 Method Not Allowed — confirmed via single probe bbsSeq=159,STATIC_PATH_405_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
264,2013-04-18,special_change_pre_2017_naming,wayback_machine,archive.org/wayback/available?url=<detail_page>,archived_snapshots: {} — confirmed via single probe bbsSeq=159,NO_WAYBACK_COVERAGE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
265,2013-04-23,special_change_pre_2017_naming,OTP_two_step,data.krx.co.kr requestUrlFileUrl + file.krx.co.kr download.jspx,HTTP 200 with Content-Length: 0 (empty body) — confirmed via single probe bbsSeq=159,BLOCKED_OTP_SANDBOX_EGRESS_ANTI_BOT_SAME_AS_BX01_SOURCE_A0_AND_MISSING_TIER1_A0,2026-05-31T02:25:00Z
265,2013-04-23,special_change_pre_2017_naming,direct_static_data_krx,https://data.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 404 — confirmed via single probe bbsSeq=159,STATIC_PATH_NOT_AVAILABLE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
265,2013-04-23,special_change_pre_2017_naming,direct_static_kind,https://kind.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 405 Method Not Allowed — confirmed via single probe bbsSeq=159,STATIC_PATH_405_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
265,2013-04-23,special_change_pre_2017_naming,wayback_machine,archive.org/wayback/available?url=<detail_page>,archived_snapshots: {} — confirmed via single probe bbsSeq=159,NO_WAYBACK_COVERAGE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
271,2013-06-07,special_change_pre_2017_naming,OTP_two_step,data.krx.co.kr requestUrlFileUrl + file.krx.co.kr download.jspx,HTTP 200 with Content-Length: 0 (empty body) — confirmed via single probe bbsSeq=159,BLOCKED_OTP_SANDBOX_EGRESS_ANTI_BOT_SAME_AS_BX01_SOURCE_A0_AND_MISSING_TIER1_A0,2026-05-31T02:25:00Z
271,2013-06-07,special_change_pre_2017_naming,direct_static_data_krx,https://data.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 404 — confirmed via single probe bbsSeq=159,STATIC_PATH_NOT_AVAILABLE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
271,2013-06-07,special_change_pre_2017_naming,direct_static_kind,https://kind.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 405 Method Not Allowed — confirmed via single probe bbsSeq=159,STATIC_PATH_405_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
271,2013-06-07,special_change_pre_2017_naming,wayback_machine,archive.org/wayback/available?url=<detail_page>,archived_snapshots: {} — confirmed via single probe bbsSeq=159,NO_WAYBACK_COVERAGE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
274,2013-07-08,special_change_pre_2017_naming,OTP_two_step,data.krx.co.kr requestUrlFileUrl + file.krx.co.kr download.jspx,HTTP 200 with Content-Length: 0 (empty body) — confirmed via single probe bbsSeq=159,BLOCKED_OTP_SANDBOX_EGRESS_ANTI_BOT_SAME_AS_BX01_SOURCE_A0_AND_MISSING_TIER1_A0,2026-05-31T02:25:00Z
274,2013-07-08,special_change_pre_2017_naming,direct_static_data_krx,https://data.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 404 — confirmed via single probe bbsSeq=159,STATIC_PATH_NOT_AVAILABLE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
274,2013-07-08,special_change_pre_2017_naming,direct_static_kind,https://kind.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 405 Method Not Allowed — confirmed via single probe bbsSeq=159,STATIC_PATH_405_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
274,2013-07-08,special_change_pre_2017_naming,wayback_machine,archive.org/wayback/available?url=<detail_page>,archived_snapshots: {} — confirmed via single probe bbsSeq=159,NO_WAYBACK_COVERAGE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
280,2013-08-16,special_deletion,OTP_two_step,data.krx.co.kr requestUrlFileUrl + file.krx.co.kr download.jspx,HTTP 200 with Content-Length: 0 (empty body) — confirmed via single probe bbsSeq=159,BLOCKED_OTP_SANDBOX_EGRESS_ANTI_BOT_SAME_AS_BX01_SOURCE_A0_AND_MISSING_TIER1_A0,2026-05-31T02:25:00Z
280,2013-08-16,special_deletion,direct_static_data_krx,https://data.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 404 — confirmed via single probe bbsSeq=159,STATIC_PATH_NOT_AVAILABLE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
280,2013-08-16,special_deletion,direct_static_kind,https://kind.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 405 Method Not Allowed — confirmed via single probe bbsSeq=159,STATIC_PATH_405_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
280,2013-08-16,special_deletion,wayback_machine,archive.org/wayback/available?url=<detail_page>,archived_snapshots: {} — confirmed via single probe bbsSeq=159,NO_WAYBACK_COVERAGE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
282,2013-08-29,special_deletion,OTP_two_step,data.krx.co.kr requestUrlFileUrl + file.krx.co.kr download.jspx,HTTP 200 with Content-Length: 0 (empty body) — confirmed via single probe bbsSeq=159,BLOCKED_OTP_SANDBOX_EGRESS_ANTI_BOT_SAME_AS_BX01_SOURCE_A0_AND_MISSING_TIER1_A0,2026-05-31T02:25:00Z
282,2013-08-29,special_deletion,direct_static_data_krx,https://data.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 404 — confirmed via single probe bbsSeq=159,STATIC_PATH_NOT_AVAILABLE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
282,2013-08-29,special_deletion,direct_static_kind,https://kind.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 405 Method Not Allowed — confirmed via single probe bbsSeq=159,STATIC_PATH_405_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
282,2013-08-29,special_deletion,wayback_machine,archive.org/wayback/available?url=<detail_page>,archived_snapshots: {} — confirmed via single probe bbsSeq=159,NO_WAYBACK_COVERAGE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
286,2013-09-30,special_change_pre_2017_naming,OTP_two_step,data.krx.co.kr requestUrlFileUrl + file.krx.co.kr download.jspx,HTTP 200 with Content-Length: 0 (empty body) — confirmed via single probe bbsSeq=159,BLOCKED_OTP_SANDBOX_EGRESS_ANTI_BOT_SAME_AS_BX01_SOURCE_A0_AND_MISSING_TIER1_A0,2026-05-31T02:25:00Z
286,2013-09-30,special_change_pre_2017_naming,direct_static_data_krx,https://data.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 404 — confirmed via single probe bbsSeq=159,STATIC_PATH_NOT_AVAILABLE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
286,2013-09-30,special_change_pre_2017_naming,direct_static_kind,https://kind.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 405 Method Not Allowed — confirmed via single probe bbsSeq=159,STATIC_PATH_405_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
286,2013-09-30,special_change_pre_2017_naming,wayback_machine,archive.org/wayback/available?url=<detail_page>,archived_snapshots: {} — confirmed via single probe bbsSeq=159,NO_WAYBACK_COVERAGE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
294,2014-02-10,special_change_pre_2017_naming,OTP_two_step,data.krx.co.kr requestUrlFileUrl + file.krx.co.kr download.jspx,HTTP 200 with Content-Length: 0 (empty body) — confirmed via single probe bbsSeq=159,BLOCKED_OTP_SANDBOX_EGRESS_ANTI_BOT_SAME_AS_BX01_SOURCE_A0_AND_MISSING_TIER1_A0,2026-05-31T02:25:00Z
294,2014-02-10,special_change_pre_2017_naming,direct_static_data_krx,https://data.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 404 — confirmed via single probe bbsSeq=159,STATIC_PATH_NOT_AVAILABLE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
294,2014-02-10,special_change_pre_2017_naming,direct_static_kind,https://kind.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 405 Method Not Allowed — confirmed via single probe bbsSeq=159,STATIC_PATH_405_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
294,2014-02-10,special_change_pre_2017_naming,wayback_machine,archive.org/wayback/available?url=<detail_page>,archived_snapshots: {} — confirmed via single probe bbsSeq=159,NO_WAYBACK_COVERAGE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
300,2014-03-24,special_deletion,OTP_two_step,data.krx.co.kr requestUrlFileUrl + file.krx.co.kr download.jspx,HTTP 200 with Content-Length: 0 (empty body) — confirmed via single probe bbsSeq=159,BLOCKED_OTP_SANDBOX_EGRESS_ANTI_BOT_SAME_AS_BX01_SOURCE_A0_AND_MISSING_TIER1_A0,2026-05-31T02:25:00Z
300,2014-03-24,special_deletion,direct_static_data_krx,https://data.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 404 — confirmed via single probe bbsSeq=159,STATIC_PATH_NOT_AVAILABLE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
300,2014-03-24,special_deletion,direct_static_kind,https://kind.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 405 Method Not Allowed — confirmed via single probe bbsSeq=159,STATIC_PATH_405_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
300,2014-03-24,special_deletion,wayback_machine,archive.org/wayback/available?url=<detail_page>,archived_snapshots: {} — confirmed via single probe bbsSeq=159,NO_WAYBACK_COVERAGE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
301,2014-04-01,special_deletion,OTP_two_step,data.krx.co.kr requestUrlFileUrl + file.krx.co.kr download.jspx,HTTP 200 with Content-Length: 0 (empty body) — confirmed via single probe bbsSeq=159,BLOCKED_OTP_SANDBOX_EGRESS_ANTI_BOT_SAME_AS_BX01_SOURCE_A0_AND_MISSING_TIER1_A0,2026-05-31T02:25:00Z
301,2014-04-01,special_deletion,direct_static_data_krx,https://data.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 404 — confirmed via single probe bbsSeq=159,STATIC_PATH_NOT_AVAILABLE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
301,2014-04-01,special_deletion,direct_static_kind,https://kind.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 405 Method Not Allowed — confirmed via single probe bbsSeq=159,STATIC_PATH_405_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
301,2014-04-01,special_deletion,wayback_machine,archive.org/wayback/available?url=<detail_page>,archived_snapshots: {} — confirmed via single probe bbsSeq=159,NO_WAYBACK_COVERAGE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
314,2014-06-27,special_deletion,OTP_two_step,data.krx.co.kr requestUrlFileUrl + file.krx.co.kr download.jspx,HTTP 200 with Content-Length: 0 (empty body) — confirmed via single probe bbsSeq=159,BLOCKED_OTP_SANDBOX_EGRESS_ANTI_BOT_SAME_AS_BX01_SOURCE_A0_AND_MISSING_TIER1_A0,2026-05-31T02:25:00Z
314,2014-06-27,special_deletion,direct_static_data_krx,https://data.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 404 — confirmed via single probe bbsSeq=159,STATIC_PATH_NOT_AVAILABLE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
314,2014-06-27,special_deletion,direct_static_kind,https://kind.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 405 Method Not Allowed — confirmed via single probe bbsSeq=159,STATIC_PATH_405_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
314,2014-06-27,special_deletion,wayback_machine,archive.org/wayback/available?url=<detail_page>,archived_snapshots: {} — confirmed via single probe bbsSeq=159,NO_WAYBACK_COVERAGE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
319,2014-08-28,special_split,OTP_two_step,data.krx.co.kr requestUrlFileUrl + file.krx.co.kr download.jspx,HTTP 200 with Content-Length: 0 (empty body) — confirmed via single probe bbsSeq=159,BLOCKED_OTP_SANDBOX_EGRESS_ANTI_BOT_SAME_AS_BX01_SOURCE_A0_AND_MISSING_TIER1_A0,2026-05-31T02:25:00Z
319,2014-08-28,special_split,direct_static_data_krx,https://data.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 404 — confirmed via single probe bbsSeq=159,STATIC_PATH_NOT_AVAILABLE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
319,2014-08-28,special_split,direct_static_kind,https://kind.krx.co.kr/{hpbbs|kor}/dyn/etc/<save>,HTTP 405 Method Not Allowed — confirmed via single probe bbsSeq=159,STATIC_PATH_405_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
319,2014-08-28,special_split,wayback_machine,archive.org/wayback/available?url=<detail_page>,archived_snapshots: {} — confirmed via single probe bbsSeq=159,NO_WAYBACK_COVERAGE_SAME_AS_PRIOR_PHASES,2026-05-31T02:25:00Z
330,2014-10-22,special_change_pre_2017_naming,OTP_two_step,data.krx.co.kr requestUrlFileUrl + file.krx.co.kr download.jspx,HTTP 200 with Content-Length: 0 (empty body) — confirmed via single probe bbsSeq=159,BLOCKED_OTP_SANDBOX_EGRESS_ANTI_BOT_SAME_AS_BX01_SOURCE_A0_AND_MISSING_TIER1_A0,2026-05-31T02:25:00Z
