root_cause_class,rcept_no,parse_status,is_correction,body_text_len,n_label_hits,body_snippet_200
label_present_but_attachment_or_table_context_required,20100323800471,label_no_value,False,294,1,에이치비이에너지/매매거래정지 및 정지해제(풍문 등 조회공시)/(2010.03.23)매매거래정지 및 정지해제(풍문 등 조회공시) 매매거래정지 및 정지해제(풍문 등 조회공시) 1. 종목명 (주)에이치비이에너지 주권 2. 매매거래정지 유형 풍문 등 조회공시관련 매매거래정지 3. 매매거래정지 일시 2010년 03월 23일 16:51 4. 매매거래정지 해제일시 - 
label_present_but_attachment_or_table_context_required,20100322800900,label_no_value,False,287,1,서광건설산업/매매거래정지 및 정지해제(풍문 등 조회공시)/(2010.03.22)매매거래정지 및 정지해제(풍문 등 조회공시) 매매거래정지 및 정지해제(풍문 등 조회공시) 1. 종목명 (주)서광건설산업 주권 2. 매매거래정지 유형 풍문 등 조회공시관련 매매거래정지 3. 매매거래정지 일시 2010년 03월 23일 부터 4. 매매거래정지 해제일시 - 5. 매매거래
label_present_but_attachment_or_table_context_required,20100322800327,label_no_value,False,292,1,유성티에스아이/매매거래정지 및 정지해제(풍문 등 조회공시)/(2010.03.22)매매거래정지 및 정지해제(풍문 등 조회공시) 매매거래정지 및 정지해제(풍문 등 조회공시) 1. 종목명 (주)유성티에스아이 주권 2. 매매거래정지 유형 풍문 등 조회공시관련 매매거래정지 3. 매매거래정지 일시 2010년 03월 22일 14:57 4. 매매거래정지 해제일시 - 5.
label_present_but_value_in_unhandled_format,20100305800323,label_no_value,False,388,1,"제로원인터랙티브/매매거래정지 및 정지해제(우회상장심사)/(2010.03.05)매매거래정지 및 정지해제(우회상장심사) 매매거래정지 및 정지해제(우회상장심사) 1. 종목명 (주)제로원인터랙티브 주권 2. 매매거래정지 유형 우회상장심사 3. 매매거래정지 일시 2010-03-05 13:54 4. 매매거래정지 해제일시 주요사항보고서(영업양수) 제출일 익일 단, 우회"
label_present_but_value_in_unhandled_format,20100426800466,label_no_value,False,310,1,"한창/매매거래정지 및 정지해제(우회상장심사)/(2010.04.26)매매거래정지 및 정지해제(우회상장심사) 매매거래정지 및 정지해제(우회상장심사) 1. 종목명 (주)한창 주권 2. 매매거래정지 유형 우회상장심사 3. 매매거래정지 일시 2010-04-26 17:55 4. 매매거래정지 해제일시 주요사항보고서(합병) 제출일 익일 단, 우회상장 해당여부 및 우회상장"
label_present_but_value_in_unhandled_format,20101230900335,label_no_value,False,148,2,주권매매거래정지 1.대상종목 (주)엠비성산 보통주 2.정지사유 기타 3.정지기간 가.정지일시 2010-12-30 15:36:00 나.만료일시 장종료시까지 4.근거규정 코스닥시장공시규정 제37조 및 동규정시행세칙 제18조 5.기타 기타 : 채권은행 등의 관리절차 해제
label_present_but_value_in_unhandled_format,20110412800376,label_no_value,False,355,1,"영흥철강/매매거래정지 및 정지해제(우회상장심사)/(2011.04.12)매매거래정지 및 정지해제(우회상장심사) 매매거래정지 및 정지해제(우회상장심사) 1. 종목명 영흥철강(주) 주권 2. 매매거래정지 유형 우회상장심사 3. 매매거래정지 일시 2011-04-12 17:59 4. 매매거래정지 해제일시 우회상장 확인서 및 첨부서류 제출일 익일 다만, 우회상장 확인"
label_present_but_value_in_unhandled_format,20111214900344,label_no_value,False,191,3,주권매매거래정지 1.대상종목 (주)위지트 보통주 2.정지사유 은행관리등 3.정지기간 가.정지일시 2011-12-14 14:37:00 나.만료일시 장종료시까지 4.근거규정 코스닥시장공시규정 제37조 및 동규정시행세칙 제18조 5.기타 코스닥시장업무규정시행세칙 제26조의 규정에 의거 매매거래 재개일의 장개시전 시간외매매는 성립되지 않습니다.
label_present_but_value_in_unhandled_format,20111013900324,label_no_value,False,207,1,주권매매거래정지 기간변경 1.대상종목 (주)대양글로벌 보통주 2.변경사유 정리매매 재개 3.정지기간 가.변경전 2011년 04월 21일~상장폐지관련 가처분결정의 이의신청에 대한 법원 결정 또는 본안소송의 법원 결정의 확정 시까지 나.변경후 2011년 04월 21일~2011년 10월 14일 4.근거규정 코스닥시장상장규정 제29조 및 동규정시행세칙 제29조 5
label_present_but_value_in_unhandled_format,20120319800557,label_no_value,False,365,1,"허메스홀딩스/매매거래정지 및 정지해제(우회상장심사)/(2012.03.19)매매거래정지 및 정지해제(우회상장심사) 매매거래정지 및 정지해제(우회상장심사) 1. 종목명 (주)허메스홀딩스 주권 2. 매매거래정지 유형 우회상장 심사 3. 매매거래정지 일시 2012-03-19 17:50 4. 매매거래정지 해제일시 우회상장 확인서 및 첨부서류 제출일 익일 다만, 우회"
label_present_but_value_in_unhandled_format,20120416800427,label_no_value,False,365,1,"동양시스템즈/매매거래정지 및 정지해제(우회상장심사)/(2012.04.16)매매거래정지 및 정지해제(우회상장심사) 매매거래정지 및 정지해제(우회상장심사) 1. 종목명 동양시스템즈(주) 주권 2. 매매거래정지 유형 우회상장 심사 3. 매매거래정지 일시 2012-04-16 17:50 4. 매매거래정지 해제일시 우회상장 확인서 및 첨부서류 제출일 익일 다만, 우회"
correction_disclosure_manual_only,20101126900274,no_label_match,True,1582,0,에어파크/기타 주요경영사항(자율공시)/(2010.11.26)기타 주요경영사항(자율공시)(광업권 매매계약 해제 등) 정정신고(보고) 정정일자 2010-11-26 1. 정정관련 공시서류 기타주요경영사항(자율공시 : 광업권 매매계약 해제 등) 2. 정정관련 공시서류제출일 2010.03.23 3. 정정사유 내용 추가 4. 정정사항 정정항목 정정전 정정후 2.주요내
correction_disclosure_manual_only,20110318800229,label_no_value,True,472,1,아티스/매매거래정지 및 정지해제(풍문 등 조회공시)/(2011.03.18)매매거래정지 및 정지해제(풍문 등 조회공시) 정정신고(보고) 정정일자 2011-03-18 1. 정정관련 공시서류 매매거래정지 및 정지해제(풍문 등 조회공시) 2. 정정관련 공시서류제출일 2011-03-18 3. 정정사유 매매거래정지 일시 시각 오기 정정 4. 정정사항 정정항목 정정전 
correction_disclosure_manual_only,20110506800027,label_no_value,True,481,1,다산리츠/매매거래정지 및 정지해제(풍문 등 조회공시)/(2011.05.06)매매거래정지 및 정지해제(풍문 등 조회공시) 정정신고(보고) 정정일자 2011-05-06 1. 정정관련 공시서류 매매거래정지 및 정지해제(풍문 등 조회공시) 2. 정정관련 공시서류제출일 2011-05-06 3. 정정사유 기재사항 오기에 따른 정정 4. 정정사항 정정항목 정정전 정정후
correction_disclosure_manual_only,20130314802024,label_no_value,True,482,2,알앤엘바이오/매매거래정지 및 정지해제(중요내용공시)/(2013.03.14)매매거래정지 및 정지해제(중요내용공시) 정정신고(보고) 정정일자 2013-03-14 1. 정정관련 공시서류 매매거래정지 및 정지해제 2. 정정관련 공시서류제출일 2013-03-14 3. 정정사유 착오기재 4. 정정사항 정정항목 정정전 정정후 매매거래정지 일시 07:00 - 매매거래정지
correction_disclosure_manual_only,20130117900277,no_label_match,True,1676,0,아큐텍/기타 주요경영사항(자율공시)/(2013.01.17)기타 주요경영사항(자율공시)(주권매매거래정지 효력정지 등 가처분신청) 정정신고(보고) 정정일자 2013-01-17 1. 정정관련 공시서류 기타 주요경영사항(자율공시) 2. 정정관련 공시서류제출일 2012-12-21 3. 정정사유 신청취지 변경 4. 정정사항 정정항목 정정전 정정후 2. 주요내용 <신청
correction_disclosure_manual_only,20140519900313,no_label_match,True,1227,0,씨그널정보통신/기타 주요경영사항/(2014.05.19)기타 주요경영사항(유형자산 취득 계약 해제) 정정신고(보고) 정정일자 2014-05-19 1. 정정관련 공시서류 기타주요경영사항 2. 정정관련 공시서류제출일 2014년 5월 19일 3. 정정사유 기재정정 4. 정정사항 정정항목 정정전 정정후 2. 주요내용 3. 기 지급금액의 회수방안 : 매도인의 귀책사유
correction_disclosure_manual_only,20230717800694,label_no_value,True,512,1,백광산업/매매거래정지 및 정지해제(풍문 등 조회공시)/(2023.07.17)매매거래정지 및 정지해제(풍문 등 조회공시) 정정신고(보고) 정정일자 2023-07-17 1. 정정관련 공시서류 매매거래정지 및 정지해제(풍문 등 조회공시) 2. 정정관련 공시서류제출일 2023.07.17 3. 정정사유 기재 정정 4. 정정사항 정정항목 정정전 정정후 5. 매매거래정
correction_disclosure_manual_only,20200512900593,no_label_match,True,1764,0,코다코/기타시장안내/(2020.05.12)기타시장안내(감사의견 관련 형식적 상장폐지 사유해소 및 매매거래정지 지속 안내) 정정신고(보고) 정정일자 2020-05-12 1. 정정관련 공시서류 기타시장안내(감사의견 관련 형식적 상장폐지 사유해소 및 매매거래정지 지속 안내) 2. 정정관련 공시서류제출일 2020년 05월 11일 3. 정정사유 기재사항 수정 4. 
title_body_mismatch,20220802600359,no_label_match,False,249,0,??????????????? 1.??????? (??)?????? ?????? 2.???????? ?????? ??? ??????? 3.??????? 2022-08-05 - 4.?????? ??????????????? ??30?? ?? ??????????? ??38?? 5.??? ???????? ???????? ????? ??34????3?? ?????? 
